5169
1	1 1	1 4	1 14	1 17	8.888192026920105
2	1 1	1 4	1 6	1 9	-2.003189776652368
3	1 1	1 4	1 49	1 52	0.004810107796864773
4	1 1	1 4	1 71	1 2	-3.983927037276798
5	1 1	1 4	1 2	1 63	4.1515662171639445
6	1 1	1 4	1 72	1 3	5.9988145822022165
7	1 2	1 5	1 24	1 27	-0.19794781055697597
8	1 2	1 5	1 23	1 26	-4.454023549943783
9	1 2	1 5	1 43	1 46	-0.00849406949947845
10	1 2	1 5	1 42	1 45	-0.008888879448896079
11	1 2	1 5	1 45	1 48	-0.008191453616311984
12	1 2	1 5	1 44	1 47	-0.00851605133248688
13	1 2	1 5	1 62	1 65	-0.02570507517258841
14	1 2	1 5	1 67	1 70	-0.04368729134939055
15	1 2	1 5	1 70	1 1	-7.286148519829588
16	1 2	1 5	1 1	1 63	7.660989779883232
17	1 2	1 5	1 68	1 71	-0.04136224308643223
18	1 3	1 6	1 2	1 5	15.943633006900539
19	1 3	1 6	1 8	1 11	-1.852563826477522
20	1 3	1 6	1 9	1 12	-0.17203907340685773
21	1 3	1 6	1 36	1 39	-0.004552395081910489
22	1 3	1 6	1 37	1 40	-0.00451555776785224
23	1 3	1 6	1 40	1 43	-0.007946532386867836
24	1 3	1 6	1 43	1 46	-0.008521576486645904
25	1 3	1 6	1 35	1 38	-0.004011459625569294
26	1 3	1 6	1 38	1 41	-0.004539493858975074
27	1 3	1 6	1 41	1 44	-0.008962708569124452
28	1 3	1 6	1 44	1 47	-0.008301665876749405
29	1 3	1 6	1 47	1 50	0.04292632727336157
30	1 3	1 6	1 59	1 62	-0.007578135451004575
31	1 3	1 6	1 39	1 42	-0.005982326199954665
32	1 3	1 6	1 42	1 45	-0.009304970974520854
33	1 3	1 6	1 45	1 48	-0.0077268059131983926
34	1 3	1 6	1 48	1 51	0.0469988076496102
35	1 3	1 6	1 60	1 63	-0.01345584096491435
36	1 3	1 6	1 63	1 66	-0.04466967952560423
37	1 3	1 6	1 61	1 64	-0.022749334435256976
38	1 3	1 6	1 64	1 67	-0.047466892972797194
39	1 3	1 6	1 1	1 62	3.165560925914498
40	1 3	1 6	1 71	1 2	-10.42986439869126
41	1 3	1 6	1 69	1 72	-0.03466828463952638
42	1 4	1 7	1 8	1 11	-6.547088542703366
43	1 4	1 7	1 11	1 14	-0.5606604138566004
44	1 4	1 7	1 26	1 29	8.61961152844687e-05
45	1 4	1 7	1 3	1 6	13.664286864496955
46	1 4	1 7	1 12	1 15	-0.27262158901715694
47	1 4	1 7	1 27	1 30	0.0001933290393881883
48	1 4	1 7	1 38	1 41	-0.005321174280772187
49	1 4	1 7	1 41	1 44	-0.010028311339146492
50	1 4	1 7	1 44	1 47	-0.008486373803355044
