a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resInvError
1,4,2,5,943.564,85.127,0.0,11.084191854523242,,,,5.026548245743669,55.71522512184007,-17607,0.08705797779348601,0.9247154018692108,10.621834153588637,,
1,4,5,8,-459.67,85.127,0.0,-5.399814394962821,,,,-9.773843811168247,52.77694250566458,-281,0.057985753132360124,0.30429006030805184,-5.247669364808795,,
1,4,26,29,0.659,832.581,0.0,0.0007915145793622483,,,,-5375.614096142546,-4.25487693012204,9,0.0958095735282884,7.965030517523839e-05,0.0008313397319498674,,
1,4,6,9,-1439.006,830.338,0.0,-1.7330364261300821,,,,-27.925268031909276,48.39550670874468,12,0.05231426780870383,0.0930977007433389,-1.7795852765017517,,0.91763
1,4,9,12,-585.499,830.338,0.0,-0.7051333312458301,,,,-153.58897417550094,108.30070500300074,-563,0.09759901614231682,0.06561818426604193,-0.6723242391128091,,
1,4,7,10,-246.986,244.016,0.0,-1.0121713330273425,,,,-56.54866776461626,57.236940432231954,-421,0.08710678368510777,0.08448728167382746,-0.9699276921904287,,
1,4,71,2,-3487.622,819.867,0.0,-4.253887520780809,,,,-12.550314774562288,53.387627401381536,64,0.012242422703206064,0.05239863226391428,-4.2800868369127665,,-0.90078
1,4,2,63,3665.025,820.681,0.0,4.465833862365523,,,,12.5457924965409,56.02742496126364,0,,,4.465833862365523,,-0.96891
2,5,4,7,-688.137,554.325,0.0,-1.2413962927885265,,,,-31.41592653589794,38.9996147361804,-17460,0.05253988760963328,0.06355328059235177,-1.2096196524923506,,
2,5,7,10,-1016.377,554.325,0.0,-1.8335398908582508,,,,-27.925268031909276,51.20209289941433,-17247,-0.02457540558738285,-0.04562055834065948,-1.8563501700285805,,
2,5,22,25,-57.543,554.325,0.0,-0.10380733324313353,,,,-2729.6949501191402,283.36235333911634,78,-0.020438284922528516,-0.0021001817968940156,-0.10275724234468653,,-0.93726
2,5,3,6,1496.13,105.34,0.0,14.202866907157775,,,,5.026548245743669,71.39139573670472,-151,-0.07387030829828813,-1.08940759458868,14.747570704452116,,
2,5,6,9,-594.536,105.34,0.0,-5.643971900512625,,,,-9.773843811168247,55.16329983023281,-361,-0.005261356092382179,-0.02977326983130446,-5.658858535428277,,
2,5,8,11,-61.913,59.636,0.0,-1.0381816352538733,,,,-56.54866776461626,58.707788371297305,-17182,0.03872299142649453,0.039437921414670285,-1.0184626745465382,,
2,5,11,14,253.982,59.636,0.0,4.258870480917566,,,,-226.194671058465,-963.3338075117555,-16972,-0.07673277896334257,-0.33983313776814317,4.428787049801638,,
2,5,14,17,-233.705,59.636,0.0,-3.9188577369374205,,,,-565.4866776461627,2216.0618418287017,-929,0.09138198812355344,0.34246542545393144,-3.7476250242104547,,
2,5,23,26,-208.015,59.636,0.0,-3.488077671205312,,,,-3166.7253948185116,11045.784140505275,96,-0.03857488814897248,-0.13200614488472073,-3.4220745987629515,,-1.81386
2,5,43,46,-6.747,751.215,0.0,-0.008981450050917513,,,,-23929.162176543286,214.91857484892813,105,-0.06437780261366738,-0.0005601746132228563,-0.008701362744306086,,0.64392
2,5,42,45,-6.946,751.722,0.0,-0.009240118022354008,,,,-22214.55071938395,205.26507046067684,114,-0.061833186480977846,-0.0005542116059908814,-0.008963012219358567,,0.54101
2,5,45,48,-6.436,751.722,0.0,-0.008561675725866743,,,,-27618.090083558098,236.45713146320037,115,-0.033767859950223626,-0.00028430921005642533,-0.00841952112083853,,0.48092
2,5,41,44,-6.807,751.227,0.0,-0.009061175916201095,,,,-20583.715066320397,186.51266322488803,122,-0.051213706507159874,-0.00045247006931547,-0.00883494088154336,,0.46134
2,5,44,47,-6.559,751.227,0.0,-0.008731049336618626,,,,-25729.643832900132,224.64678971867625,123,0.011595415922934862,0.00010183053218894983,-0.008781964602713101,,0.39052
2,5,65,68,-32.067,751.227,0.0,-0.04268616543335104,,,,-87084.94835750671,3717.3225123433635,-4549,-0.005040313209950259,-0.0002156952292725542,-0.042794013047987314,,
2,5,64,67,-30.052,749.967,0.0,-0.040071096461577645,,,,-82997.38724933649,3325.796310527077,-18744,0.04039539045147903,0.0015866410941323891,-0.039277775914511454,,
2,5,67,70,-32.233,749.967,0.0,-0.042979224419207776,,,,-95658.00564330864,4111.306892037606,133,0.02184049904550626,0.0009490515900779234,-0.04345375021424674,,-0.93449
2,5,70,1,-5539.457,750.607,0.0,-7.379969811099551,,,,-8.370005743741341,61.77038970754094,134,-0.05110095015446107,-0.36772784823684646,-7.196105886981128,,-1.03531
2,5,1,63,5608.078,750.607,0.0,7.471390487965074,,,,8.36811956213114,62.52148889866106,0,,,7.471390487965074,,-1.11114
2,5,63,66,-26.644,750.607,0.0,-0.03549660474789071,,,,-79039.67863751794,2805.640231996275,-18692,0.046773212588553305,0.0016223490026480991,-0.03468543024656666,,
2,5,66,69,-31.469,750.607,0.0,-0.041924735580670044,,,,-91304.4563571321,3827.9151901095915,-18848,-0.020789179944406315,-0.0008807357591989334,-0.04236510346026951,,
2,5,69,72,-31.142,750.607,0.0,-0.041489088164645416,,,,-104775.60565572337,4347.044340554427,-19002,0.0159571242688787,0.0006568061668333486,-0.04116068508122874,,
2,5,68,71,-31.327,750.404,0.0,-0.04174684569911675,,,,-100147.69061113789,4180.850187066057,140,-0.06004494410666724,-0.0024336236195275293,-0.04053003388935299,,-0.74071
3,6,7,10,-257.154,45.345,0.0,-5.6710552431359575,,,,-9.773843811168247,55.428008190917616,-441,-0.021918262350226436,-0.1256769872102108,-5.733893736741063,,
3,6,2,5,446.565,29.202,0.0,15.292274501746455,,,,5.026548245743669,76.86735557018429,151,-0.07387030829828813,-1.08940759458868,14.747570704452116,,-1.01621
3,6,5,8,-55.712,29.202,0.0,-1.9078145332511471,,,,-31.41592653589794,59.93576122073645,-17379,-0.047830500126113444,-0.09348750021877206,-1.9545582833605333,,
3,6,8,11,-53.23,29.202,0.0,-1.822820354770221,,,,-27.925268031909276,50.90274698097838,153,0.060716919355963066,0.11414118710738808,-1.879890948323915,,-1.00858
3,6,37,40,-4.353,868.861,0.0,-0.005010007354456006,,,,-13612.87003385493,68.20057898486698,173,-0.015075458155027739,-7.496310465478564e-05,-0.004972525802128613,,0.28142
3,6,43,46,-7.724,868.861,0.0,-0.008889799404047369,,,,-22214.55071938395,197.4828997463595,175,-0.05551442545146608,-0.00048018354936728985,-0.008649707629363724,,0.49067
3,6,38,41,-4.168,867.238,0.0,-0.004806062464975012,,,,-14856.242592975721,71.40002989666367,183,-0.028537699070525276,-0.0001352244667697797,-0.004738450231590122,,0.18864
3,6,41,44,-8.011,867.238,0.0,-0.009237371978626396,,,,-19034.56082224999,175.82931876491187,184,0.00198768614904876,1.8379262438215915e-05,-0.009246561609845504,,0.41956
3,6,44,47,-7.266,867.238,0.0,-0.008378322905592235,,,,-23929.162176543286,200.48624757536396,185,0.027083776691057035,0.00023003169008367456,-0.008493338750634072,,0.21462
3,6,39,42,-5.46,866.882,0.0,-0.006298435081129843,,,,-16172.918980680128,101.86408027218641,191,-0.07128499191993226,-0.0004335317405552994,-0.006081669210852193,,0.20433
3,6,42,45,-8.101,866.882,0.0,-0.009344985822753272,,,,-20583.715066320397,192.35452547435705,192,-0.0141609874659252,-0.0001314038231588939,-0.009279283911173825,,0.46969
3,6,45,48,-6.953,866.882,0.0,-0.008020699472361868,,,,-25729.643832900132,206.36974071460088,193,-0.01130792514498334,-9.018755219923624e-05,-0.00797560569626225,,0.19459
3,6,60,63,-13.656,866.882,0.0,-0.015753009060056618,,,,-64465.4812516621,1015.5253102183432,198,-0.02154963052641164,-0.000335852773335114,-0.01558508267338906,,0.06585
3,6,63,66,-38.52,866.882,0.0,-0.04443511342950944,,,,-75209.7281269409,3341.9528003231853,199,0.01226166842219547,0.000548209609403473,-0.04470921823421117,,-0.14637
3,6,66,69,-36.979,866.882,0.0,-0.04265747818042133,,,,-87084.94835750671,3714.8242844034608,-18842,-0.022907918994650864,-0.0009885164824253168,-0.04315173642163399,,
3,6,61,64,-20.488,867.707,0.0,-0.023611656930277156,,,,-67924.72382911498,1603.8152761368847,201,-0.010080120805368978,-0.00023681479340909029,-0.02349324953357261,,-0.09575
3,6,64,67,-40.836,867.707,0.0,-0.04706196907481442,,,,-79039.67863751794,3719.762911722139,202,0.011346976214106089,0.0005370580360613067,-0.04733049809284508,,-0.39506
3,6,67,70,-35.384,867.707,0.0,-0.04077874213300112,,,,-91304.4563571321,3723.2808813813444,-4699,-0.030617980807811973,-0.001267974148059993,-0.04141272920703111,,
3,6,70,1,-2590.637,867.707,0.0,-2.9856126549630235,,,,-20.89522149618898,62.38503772727722,204,-0.08118297558860632,-0.23292610224850252,-2.869149603838772,,0.0321
3,6,1,62,2698.934,870.826,0.0,3.099280453270803,,,,20.880752620118038,64.71530844511494,0,,,3.099280453270803,,-0.41896
3,6,62,65,-30.773,870.826,0.0,-0.035337713848690784,,,,-71505.44132250796,2526.838824079136,-4349,-0.0037228372434796376,-0.00013180189571840306,-0.035403614796549986,,
3,6,65,68,-40.672,870.826,0.0,-0.04670508230117153,,,,-82997.38724933649,3876.399802262465,-4559,-0.008453974682174863,-0.0003965196669155416,-0.046903342134629294,,
3,6,68,71,-32.5,870.826,0.0,-0.03732088844384527,,,,-95658.00564330864,3570.041757374643,-4770,0.06595317151053867,0.002382852612930149,-0.03612946213738019,,
3,6,69,72,-30.459,870.518,0.0,-0.03498951199171068,,,,-100147.69061113789,3504.1188215805405,210,-0.06033850657696027,-0.002049386440817466,-0.03396481877130195,,0.44841
4,7,2,5,-119.807,95.916,0.0,-1.2490825305475626,,,,-31.41592653589794,39.241085016955715,-17606,0.09291239132256328,0.1109031083705081,-1.1936309763623085,,
4,7,5,8,1083.797,95.916,0.0,11.299439092539306,,,,5.026548245743669,56.79717574849088,-17391,0.017288265289537474,0.19367356070626052,11.202602312186176,,
4,7,8,11,-587.969,95.916,0.0,-6.130040869093791,,,,-9.773843811168247,59.914062010600766,213,0.041652502266230504,0.2607622411114354,-6.260421989649508,,-0.70891
4,7,17,20,-110.263,868.946,0.0,-0.12689281037026467,,,,-726.0569688296413,92.13140926370885,216,0.048994131811007306,0.00637312596391193,-0.13007937335222064,,-0.09857
4,7,18,21,-54.949,463.346,0.0,-0.11859172195292503,,,,-913.8543963442296,108.37556647671302,226,-0.09824265692700565,-0.011105260695888491,-0.11303909160498078,,-1.22032
4,7,35,38,-4.276,870.585,0.0,-0.0049116398743373705,,,,-10301.631376971342,50.59790344185743,242,0.03508842705944758,0.00017541931132813906,-0.0049993495300014405,,0.35419
4,7,38,41,-4.524,870.585,0.0,-0.0051965057978255996,,,,-13612.87003385493,70.73935805597351,243,0.09269870135075844,0.0005051213873353607,-0.00544906649149328,,0.16487
4,7,41,44,-8.771,870.585,0.0,-0.010074834737561525,,,,-17564.99359207103,176.96440760644282,244,0.047994117613281616,0.0004954214612690484,-0.01032254546819605,,0.24112
4,7,44,47,-7.364,870.585,0.0,-0.00845868008293274,,,,-22214.55071938395,187.9057777213522,245,0.07472562614889479,0.000656613077258169,-0.008786986621561825,,0.00402
4,7,47,50,44.146,870.585,0.0,0.05070843168673937,,,,-27618.090083558098,-1400.4700343203199,246,0.044518477306542355,0.0023088555315900483,0.051862859452534396,,1.22484
4,7,33,36,-2.524,870.15,0.0,-0.002900649313336781,,,,-8422.260838423801,24.43002511771726,251,-0.0008164153417520057,-2.3671683041905436e-06,-0.0028994657291846857,,0.41609
4,7,36,39,-4.681,870.15,0.0,-0.005379532264552089,,,,-11337.658820955263,60.99130143181243,252,0.09217360966036615,0.0005198071581554104,-0.005639435843629794,,0.32297
4,7,39,42,-6.034,870.15,0.0,-0.006934436591392289,,,,-14856.242592975721,103.0196722473315,253,-0.011102431883185077,-7.656408612872773e-05,-0.0068961545483279246,,0.14844
4,7,42,45,-8.746,870.15,0.0,-0.010051140607941161,,,,-19034.56082224999,191.31904723484277,254,0.0146313866697668,0.0001481459147883897,-0.010125213565335356,,0.26964
4,7,45,48,-6.836,870.15,0.0,-0.007856116761477907,,,,-23929.162176543286,187.99029206326486,255,-0.05049450358038959,-0.0003869219988132024,-0.007662655762071305,,-0.00939
4,7,48,51,49.066,870.15,0.0,0.05638797908406597,,,,-29596.59532361917,-1668.8921980678024,256,0.08529316666626524,0.00502375529690588,0.05889985673251891,,1.24005
4,7,51,54,12.498,870.15,0.0,0.014363040855024996,,,,-36093.4089312423,-518.4111070765573,-18064,-0.07409115633105882,-0.0011051138883102513,0.01491559779918012,,
4,7,60,63,-18.305,870.15,0.0,-0.021036602884560135,,,,-61125.61919504549,1285.8753770790183,260,0.07379994358947595,0.0016119822040581086,-0.02184259398658919,,0.02747
4,7,40,43,-7.77,870.488,0.0,-0.008926027699405389,,,,-16172.918980680128,144.35992280179,261,-0.06808522582604451,-0.0005877229855464992,-0.008632166206632139,,0.16966
4,7,43,46,-7.983,870.488,0.0,-0.009170718034022295,,,,-20583.715066320397,188.76744696588088,262,-0.028135089330724738,-0.0002544396302509126,-0.009043498218896839,,0.245
4,7,46,49,40.563,870.488,0.0,0.04659800020218544,,,,-25729.643832900132,-1198.94994852764,263,0.05066293447904522,0.0024221479936482326,0.04780907419900956,,1.22422
4,7,61,64,-27.563,870.488,0.0,-0.0316638483241584,,,,-64465.4812516621,2041.225220496506,268,0.024336724741786452,0.0007800867390522354,-0.03205389169368452,,-0.48987
4,7,64,67,-49.719,870.488,0.0,-0.05711623824797125,,,,-75209.7281269409,4295.696750263501,-4470,-0.009467236302576815,-0.0005433047212982378,-0.057387890608620366,,
4,7,67,70,-33.781,870.488,0.0,-0.0388069680455101,,,,-87084.94835750671,3379.50280815466,270,0.00907598492850247,0.00035381707632802656,-0.03898387658367411,,-0.84903
4,7,62,65,-40.315,870.574,0.0,-0.04630852747727361,,,,-67924.72382911498,3145.493939826793,-18645,-0.022866464685498213,-0.0010711591192833214,-0.04684410703691527,,
4,7,65,68,-45.748,870.574,0.0,-0.0525492376294261,,,,-79039.67863751794,4153.474854876404,272,-0.0016454496092446914,-8.639604235637782e-05,-0.052506039608247915,,-0.64187
4,7,2,63,3528.398,870.574,0.0,4.052955865899969,,,,20.880752620118038,84.62876881611356,0,,,4.052955865899969,,-1.43558
4,7,63,66,-49.241,870.574,0.0,-0.0565615329656066,,,,-71505.44132250796,4044.4573765832824,-18697,-0.017410640263567142,-0.0009934205471081384,-0.05705824323916067,,
4,7,66,69,-38.126,870.574,0.0,-0.043794094471004186,,,,-82997.38724933649,3634.7954180439606,-4610,0.010074345672144765,0.0004389855997609174,-0.04357460167112373,,
4,7,72,3,-60.209,6.603,0.0,-9.118431016204756,,,,-8.370005743741341,76.321319979543,279,-0.05000382529517391,-0.4448347128666903,-8.89601365977141,,-0.52602
4,7,70,1,-52.549,33.464,0.0,-1.5703143676786995,,,,-37.536615671340115,58.94428690273882,280,-0.06137029096077664,-0.09350154124847965,-1.5235635970544597,,-0.71053
5,8,1,4,-2367.615,464.646,0.0,-5.095524334654769,,,,-9.773843811168247,49.802858982922714,281,0.057985753132360124,0.30429006030805184,-5.247669364808795,,0.24996
5,8,4,7,5242.154,464.646,0.0,11.282038368994892,,,,5.026548245743669,56.70971017208404,-17459,0.005555809892787871,0.0625072212621447,11.25078475836382,,
5,8,7,10,-1597.733,464.646,0.0,-3.4386027212114167,,,,-31.41592653589794,108.02689047571661,283,-0.056358099641997596,-0.1884818746550181,-3.3443617838839077,,-0.67373
5,8,10,13,-634.487,464.646,0.0,-1.3655277350929524,,,,-27.925268031909276,38.1327280074767,-17034,0.0010928234433460894,0.001491465767071265,-1.3647820022094168,,
5,8,16,19,2037.136,464.646,0.0,4.38427534079708,,,,-430.04912769140304,-1885.453785868713,286,0.08709962555398587,0.399256276605195,4.5839034790996775,,
5,8,6,9,7177.327,726.668,0.0,9.877037381582786,,,,5.026548245743669,49.6474049235396,292,0.013251594668842199,0.13175950770467182,9.942917135435122,,-0.6968
5,8,9,12,-3537.923,726.668,0.0,-4.86869244276616,,,,-9.773843811168247,47.58583950021165,293,0.027286034684347336,0.1346848181707685,-4.936034851851544,,-1.08754
5,8,17,20,-53.854,22.877,0.0,-2.3540674039428247,,,,-565.4866776461627,1331.1937552107552,-16539,0.03111034087346012,0.07211409237793376,-2.3180103577538578,,
5,8,40,43,-6.321,746.121,0.0,-0.008471816233559972,,,,-14856.242592975721,125.8593571688768,314,0.05478283777050407,0.0004771807933389837,-0.008710406630229463,,0.26164
5,8,43,46,-6.388,746.121,0.0,-0.008561614000946228,,,,-19034.56082224999,162.96656243763806,315,0.052051014215542236,0.0004575486271184599,-0.008790388314505458,,0.0885
