a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0
1,4,2,5,6527.037,617.326,0.0,10.573079701810713,,,,5.026548245743669,53.14609522724463,-17607,0.20627238824316374,1.977030953022508,9.58456422529946,,10.573079701810713,9.58456422529946
1,4,5,8,-3688.6,617.326,0.0,-5.975124974486738,,,,-9.773843811168247,58.39993825284403,-281,0.11764362167820511,0.6638844560837347,-5.64318274644487,,-5.975124974486738,-5.64318274644487
1,4,8,11,-468.632,617.326,0.0,-0.7591321279194461,,,,-97.73843811168241,74.19638850324456,-492,0.2609381189778256,0.17522506065269017,-0.671519597593101,,-0.7591321279194461,-0.671519597593101
1,4,11,14,-5756.949,617.326,0.0,-9.325622118621279,,,,-317.6499238629682,2962.2831559548613,-705,1.3632565684337106,7.560062902879739,-5.5455906671814095,,-9.325622118621279,-5.5455906671814095
1,4,14,17,5341.71,617.326,0.0,8.6529807589507,,,,-726.0569688296413,-6282.556981184955,5,0.052926684584898374,0.470422535938809,8.888192026920105,,8.6529807589507,8.888192026920105
1,4,17,20,-1627.884,617.326,0.0,-2.636992448074437,,,,-1379.5082407763177,3637.752812983602,6,-1.7636293154748353,-2.4713789782578948,-1.4013029589454895,,-2.636992448074437,-1.4013029589454895
1,4,20,23,2103.339,617.326,0.0,3.4071770830970993,,,,-2334.552407467609,-7954.2334620127995,7,0.23270265010467853,0.8972560691720441,3.855805117683121,,3.4071770830970993,3.855805117683121
1,4,23,26,-65.234,617.326,0.0,-0.10567188163142326,,,,-3647.7381366681584,385.46335260042605,8,0.9005131129454607,0.17309695313173284,-0.1922203581972897,,-0.10567188163142326,-0.1922203581972897
1,4,26,29,1.174,808.148,0.0,0.0014527042076451341,,,,-5375.614096142546,-7.809177216142771,9,-0.5308754391650299,-0.0006094373292941895,0.0011479855429980393,,0.0014527042076451341,0.0011479855429980393
1,4,29,32,8.251,808.148,0.0,0.010209763558160138,,,,-7574.728953655354,-77.33619163397091,10,-0.7137290508474262,-0.0053704734092497085,0.007524526853535284,,0.010209763558160138,0.007524526853535284
1,4,3,6,-3192.566,810.328,0.0,-3.9398441125075276,,,,-31.41592653589794,123.7738532014265,11,-0.14240956628128915,-0.5237761258245066,-3.6779560495952746,,-3.9398441125075276,-3.6779560495952746
