a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
1,4,5,8,-655.298,121.75,0.0,-5.382324435318275,,,,-9.773843811168247,52.605998371835156,-281,0.07715110226693593,0.3998286523208403,-5.182410109157855,,,,
1,4,11,14,-204.27,121.75,0.0,-1.677782340862423,,,,-317.6499238629682,532.9474328335813,-705,0.02637308291055449,0.043672404805015885,-1.6559461384599152,,,,
1,4,6,9,-1555.818,847.562,0.0,-1.8356391626807242,,,,-27.925268031909276,51.26071562772874,12,-0.05332145632853963,-0.09533719442337163,-1.7879705654690383,,-2.0129009487516165,-2.003189776652368,-1.26971
1,4,7,10,-208.66,206.074,0.0,-1.0125488902044897,,,,-56.54866776461626,57.258290787604594,-421,0.08096925358204367,0.07879532839234415,-0.9731512260083176,,,,
1,4,10,13,-655.213,206.074,0.0,-3.1795034793326664,,,,-226.194671058465,719.1867436368974,22,-0.06210761089703556,-0.19152382145009605,-3.0837415686076186,,,,
1,4,56,59,16.286,843.723,0.0,0.019302543607321362,,,,-57903.043264162494,-1117.676017603112,-3901,0.09644944921654108,0.001776069248986805,0.01841450898282796,,,,
1,4,49,52,3.94,839.676,0.0,0.004692286072246914,,,,-38453.09407993839,-180.43291778609515,55,0.08699567175254529,0.00042677224811529975,0.0049056721963045636,,0.004877837570359374,0.004810107796864773,0.11299
1,4,61,64,5.332,839.676,0.0,0.0063500683597006455,,,,-75209.7281269409,-477.5869149205751,-4259,0.035307348590588046,0.00022031471296487127,0.0062399110032182094,,0.00634502381394198,0.006371203102249909,
1,4,2,63,-58.947,840.333,0.0,-0.07014719164902486,,,,12.5457924965409,-0.8800521106437525,0,,,-0.07014719164902486,,4.1515662171639445,4.1515662171639445,
2,5,7,10,-1345.94,761.58,0.0,-1.7672995614380629,,,,-27.925268031909276,49.35231394583362,-17247,-0.06962326370786809,-0.12748305665260662,-1.831041089764366,,-1.9098781283972852,-1.917470040256631,0.63262
2,5,22,25,-135.689,761.58,0.0,-0.17816775650621075,,,,-2729.6949501191402,486.34362520906006,78,-0.05250153215731797,-0.009114809466452628,-0.17361035177298445,,,,
2,5,3,6,9142.856,602.604,0.0,15.172245786619404,,,,5.026548245743669,76.26402544272354,-151,-0.08177975036779642,-1.2936809244782932,15.81908624885855,,15.52428713686589,15.943633006900539,0.51525
2,5,6,9,-3199.575,602.604,0.0,-5.309581416651731,,,,-9.773843811168247,51.89501946903545,-361,-0.05263527232006281,-0.28702508554108075,-5.4530939594222705,,-6.039920814263008,-6.157577139893433,-0.22199
