2472
1	1 1	1 4	1 2	1 63	-0.2042652862962034
2	1 2	1 5	1 42	1 45	-0.008822766011520645
3	1 2	1 5	1 45	1 48	-0.007960758983852883
4	1 2	1 5	1 41	1 44	-0.008785252605816786
5	1 2	1 5	1 44	1 47	-0.008304021787004578
6	1 2	1 5	1 67	1 70	-0.043310017996609676
7	1 2	1 5	1 70	1 1	-6.986051069516057
8	1 2	1 5	1 1	1 63	7.288555824531815
9	1 3	1 6	1 8	1 11	-1.824962598140273
10	1 3	1 6	1 37	1 40	-0.0050905871037595155
11	1 3	1 6	1 43	1 46	-0.008542842707502128
12	1 3	1 6	1 38	1 41	-0.00481973734867272
13	1 3	1 6	1 41	1 44	-0.009304828338660809
14	1 3	1 6	1 44	1 47	-0.008117625630519919
15	1 3	1 6	1 42	1 45	-0.009214417694665009
16	1 3	1 6	1 45	1 48	-0.007590666057965935
17	1 3	1 6	1 61	1 64	-0.02358128220121751
18	1 3	1 6	1 70	1 1	-2.8877053828506742
19	1 3	1 6	1 1	1 62	3.146534610503021
20	1 4	1 7	1 8	1 11	-6.2647284344796885
21	1 4	1 7	1 35	1 38	-0.004853691149236783
22	1 4	1 7	1 38	1 41	-0.005610248439158808
23	1 4	1 7	1 41	1 44	-0.010388815798312818
24	1 4	1 7	1 44	1 47	-0.008463619353434083
25	1 4	1 7	1 36	1 39	-0.005540234120456016
26	1 4	1 7	1 39	1 42	-0.0069735703895182416
27	1 4	1 7	1 42	1 45	-0.01028874620845669
28	1 4	1 7	1 67	1 70	-0.0404841835466375
29	1 4	1 7	1 2	1 63	8.032859699279213
30	1 4	1 7	1 72	1 3	-10.111590803314382
31	1 5	1 8	1 7	1 10	-3.297334307218805
32	1 5	1 8	1 6	1 9	9.839566645984792
33	1 5	1 8	1 40	1 43	-0.008322412559426331
34	1 5	1 8	1 43	1 46	-0.008495452589649463
35	1 5	1 8	1 45	1 48	-0.006789595724677796
36	1 5	1 8	1 64	1 67	-0.061053616001087
37	1 5	1 8	1 1	1 63	0.940024718123632
38	1 5	1 8	1 72	1 3	-2.476240104153242
39	1 5	1 8	1 71	1 2	-1.5545677063603733
40	1 6	1 9	1 1	1 4	-1.6281752847205682
41	1 6	1 9	1 39	1 42	-0.007675290823431878
42	1 6	1 9	1 40	1 43	-0.009344503424230665
43	1 6	1 9	1 43	1 46	-0.008744503134619153
44	1 6	1 9	1 41	1 44	-0.010891312571927183
45	1 6	1 9	1 44	1 47	-0.007996177695985207
46	1 6	1 9	1 42	1 45	-0.010529700575963391
47	1 6	1 9	1 45	1 48	-0.006706977248147929
48	1 6	1 9	1 66	1 69	-0.03934967811625802
49	1 6	1 9	1 61	1 64	-0.04356415283512434
50	1 6	1 9	1 67	1 70	-0.031431839035591734
51	1 6	1 9	1 1	1 62	0.7073877656714667
52	1 6	1 9	1 71	1 2	-0.9551057751850012
53	1 7	1 10	1 67	1 64	0.054803159105784954
54	1 7	1 10	1 61	1 58	0.02935783010953567
55	1 7	1 10	1 49	1 46	-0.06092362968643182
56	1 7	1 10	1 5	1 8	-3.124139401403408
57	1 7	1 10	1 22	1 25	-0.05366407426793049
58	1 7	1 10	1 31	1 34	-0.0068136759239844896
59	1 7	1 10	1 34	1 37	-0.006151808160830106
60	1 7	1 10	1 40	1 43	-0.008796716025538089
61	1 7	1 10	1 32	1 35	-0.006732185375481712
62	1 7	1 10	1 41	1 44	-0.009891268574141302
63	1 7	1 10	1 47	1 50	0.06289012672071519
64	1 7	1 10	1 36	1 39	-0.007816407348575551
65	1 7	1 10	1 39	1 42	-0.0071829276866051655
