Location,TestName,Date,Rawfile,TL nb,Type,Background,Comment
Salorno,SALORNO1,12-Jul-21,July2021/file0.dat,0,ERT,True,
Salorno,SALORNO1,12-Jul-21,July2021/file1.dat,1,ERT,,
Salorno,SALORNO1,12-Jul-21,July2021/file2.dat,2,ERT,,
Salorno,SALORNO1,12-Jul-21,July2021/file3.dat,3,ERT,,
Salorno,SALORNO1,12-Jul-21,July2021/file4.dat,4,ERT,,
Salorno,SALORNO2,4-Jul-22,July2022/file120data0_salorno2.dat,0,ERT,True,
Salorno,SALORNO2,4-Jul-22,July2022/file120data1_salorno2.dat,1,ERT,,
Salorno,SALORNO2,4-Jul-22,July2022/file120data2_salorno2.dat,2,ERT,,
Laghetti,LAGHETTI1,4-Apr-22,April/file120data2.dat,0,ERT,True,
Laghetti,LAGHETTI1,4-Apr-22,April/file120data3.dat,1,ERT,,
Laghetti,LAGHETTI1,5-Apr-22,April/file120data4.dat,2,ERT,,
Laghetti,LAGHETTI1,7-Apr-22,April/file120data5.dat,3,ERT,,
Laghetti,LAGHETTI1,12-Apr-22,April/file120data6.dat,4,ERT,,
Laghetti,LAGHETTI2,20-Jun-22,June/file120data0_20giugno2022.dat,0,ERT,True,(reconstructed)
Laghetti,LAGHETTI2,20-Jun-22,June/file120data1_22giugno2022.dat,1,ERT,,
Laghetti,LAGHETTI2,20-Jun-22,June/file120data2_24giugno2022.dat,2,ERT,,
Laghetti,LAGHETTI2,20-Jun-22,June/file120data3_27giugno2022.dat,3,ERT,,
Laghetti,LAGHETTI2,20-Jun-22,June/lettura ben test.bin,0,MALM,,
Laghetti,LAGHETTI3,1-Aug-22,August/file120data0_laghetti3.dat,0,ERT,True,
Laghetti,LAGHETTI3,1-Aug-22,August/file120data1_laghetti3.dat,1,ERT,,
Laghetti,LAGHETTI3,1-Aug-22,August/file120data2_laghetti3.dat,2,ERT,,
