,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Name,Date
,Mixed / non conventional,16.00,26.00,24.00,25.00,-6.06,0.18,0.00,54.02,-195.620,394.811,MALM_LAG,6/27/2022 2:13:58 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-6.70,11.40,0.00,414.55,16.722,32.083,MALM_LAG,6/27/2022 2:14:01 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-6.55,0.33,0.00,-29.50,-190.596,355.570,MALM_LAG,6/27/2022 2:14:43 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-7.38,7.45,0.00,441.10,19.998,34.844,MALM_LAG,6/27/2022 2:14:46 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-7.13,0.18,0.00,-24.50,-203.549,349.230,MALM_LAG,6/27/2022 2:15:23 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-7.79,7.28,0.00,408.51,21.100,34.823,MALM_LAG,6/27/2022 2:15:26 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-7.75,0.25,0.00,-124.36,-186.190,293.823,MALM_LAG,6/27/2022 2:15:48 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-8.49,6.04,0.00,439.72,26.804,40.579,MALM_LAG,6/27/2022 2:15:51 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-8.28,0.09,0.00,-102.46,-198.443,292.990,MALM_LAG,6/27/2022 2:16:15 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-8.90,5.38,0.00,462.67,27.310,39.415,MALM_LAG,6/27/2022 2:16:18 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-9.06,0.10,0.00,-99.69,-197.877,267.140,MALM_LAG,6/27/2022 2:16:59 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-9.69,4.09,0.00,435.81,30.737,40.749,MALM_LAG,6/27/2022 2:17:02 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-9.33,0.21,0.00,-121.23,-196.971,258.060,MALM_LAG,6/27/2022 2:17:31 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-9.74,4.14,0.00,417.62,31.648,41.758,MALM_LAG,6/27/2022 2:17:34 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-9.72,0.28,0.00,-124.83,-187.620,236.093,MALM_LAG,6/27/2022 2:17:54 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-9.90,4.27,0.00,468.57,33.371,43.319,MALM_LAG,6/27/2022 2:17:57 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-9.78,0.03,0.00,-200.67,-200.519,250.561,MALM_LAG,6/27/2022 2:18:18 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-9.93,4.84,0.00,424.60,32.608,42.197,MALM_LAG,6/27/2022 2:18:21 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-9.80,0.06,0.00,-241.91,-198.608,247.698,MALM_LAG,6/27/2022 2:18:41 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-9.78,4.87,0.00,560.25,32.150,42.244,MALM_LAG,6/27/2022 2:18:44 PM
,Mixed / non conventional,16.00,26.00,24.00,25.00,-9.63,0.04,0.00,-156.27,-197.095,250.247,MALM_LAG,6/27/2022 2:19:06 PM
,Mixed / non conventional,16.00,24.00,25.00,26.00,-10.04,0.90,0.00,497.74,33.066,42.307,MALM_LAG,6/27/2022 2:19:08 PM
