3261
1	1 1	1 4	1 2	1 63	-0.07014719164902486
2	1 2	1 5	1 24	1 27	-0.19906393914399156
3	1 2	1 5	1 23	1 26	-8.327980669119299
4	1 2	1 5	1 44	1 47	-0.008663349016627724
5	1 2	1 5	1 67	1 70	-0.04375889551963523
6	1 2	1 5	1 70	1 1	-7.106552203429251
7	1 2	1 5	1 1	1 63	7.337747238700454
8	1 2	1 5	1 68	1 71	-0.04071075808831956
9	1 3	1 6	1 1	1 4	-4.03207856996265
10	1 3	1 6	1 8	1 11	-1.7777131738580176
11	1 3	1 6	1 23	1 26	-0.19740473492064226
12	1 3	1 6	1 18	1 21	-3.8808839071883448
13	1 3	1 6	1 37	1 40	-0.004846757530732589
14	1 3	1 6	1 38	1 41	-0.0047337733814150715
15	1 3	1 6	1 41	1 44	-0.009199548463435668
16	1 3	1 6	1 44	1 47	-0.008412515603106015
17	1 3	1 6	1 39	1 42	-0.0061290652621330995
18	1 3	1 6	1 42	1 45	-0.009318900480570545
19	1 3	1 6	1 60	1 63	-0.014605214300813778
20	1 3	1 6	1 63	1 66	-0.04481979034785007
21	1 3	1 6	1 61	1 64	-0.02347919029434956
22	1 3	1 6	1 64	1 67	-0.04731792345489372
23	1 3	1 6	1 1	1 62	3.1453658204045927
24	1 4	1 7	1 8	1 11	-6.179591021145409
25	1 4	1 7	1 12	1 15	-0.2520875340614742
26	1 4	1 7	1 35	1 38	-0.004876885523336348
27	1 4	1 7	1 41	1 44	-0.010248643379777624
28	1 4	1 7	1 44	1 47	-0.008765810176355495
29	1 4	1 7	1 39	1 42	-0.006880902223843447
30	1 4	1 7	1 42	1 45	-0.010122904005843043
31	1 4	1 7	1 60	1 63	-0.020888465538384537
32	1 4	1 7	1 40	1 43	-0.008875476382401194
33	1 4	1 7	1 61	1 64	-0.03224930942444789
34	1 4	1 7	1 67	1 70	-0.03934820264263257
35	1 4	1 7	1 65	1 68	-0.05302830259984681
36	1 4	1 7	1 2	1 63	7.428922880414495
37	1 5	1 8	1 7	1 10	-3.438571267279182
38	1 5	1 8	1 6	1 9	10.013544752930354
39	1 5	1 8	1 9	1 12	-4.864267133797689
40	1 5	1 8	1 43	1 46	-0.008665416621768255
41	1 5	1 8	1 45	1 48	-0.006907959080560971
42	1 5	1 8	1 70	1 1	-1.0065727392063673
43	1 5	1 8	1 1	1 63	1.1157587408606526
