a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
1,4,5,8,-506.766,99.372,0.0,-5.099686028257457,,,,-9.773843811168247,49.843534726185325,-19480,0.020494572083157483,0.10345574232336219,-5.047958157095776,,-5.115252955877104,-5.075446296221195,
1,4,23,26,-55.088,99.372,0.0,-0.5543613895262247,,,,-3647.7381366681584,2022.165182071162,19207,0.03873791057997012,0.021898961951388407,-0.565310870501919,,,,-1.98383
1,4,26,29,0.764,830.197,0.0,0.0009202635037226104,,,,-5375.614096142546,-4.946981462776793,19208,0.02116772155653602,1.96882594019188e-05,0.0009301076334235698,,,,
1,4,29,32,5.497,830.197,0.0,0.006621319999951819,,,,-7574.728953655354,-50.154704315052314,19209,-0.022748588569298796,-0.00014893169157627426,0.006546854154163681,,,,
1,4,7,10,-87.011,90.278,0.0,-0.9638117813863841,,,,-56.54866776461626,54.502272213241596,-19620,0.04563326786207731,0.04300074884350791,-0.9423114069646301,,-0.9591512009107992,-0.9441395553545374,
1,4,50,53,7.476,821.907,0.0,0.009095919611342889,,,,-40913.31019354928,-372.1441805544598,-22674,-0.04937881379236279,-0.0004605155772269883,0.009326177399956382,,,,
1,4,2,63,492.65,819.486,0.0,0.6011695135731422,,,,12.5457924965409,7.54214797253507,0,,,0.6011695135731422,,-0.5302986849602124,-0.5302986849602124,
1,4,69,72,-30.668,819.486,0.0,-0.03742345811886963,,,,-109543.84517216908,4099.509501980609,19267,0.04654784055640265,0.0017834899648451336,-0.038315203101292196,,,,-0.14073
2,5,3,6,5403.986,355.522,0.0,15.200145138697465,,,,5.026548245743669,76.4042628819689,-19350,0.003247475245595952,0.049282073909848734,15.17550410174254,,,,
2,5,11,14,274.102,68.469,0.0,4.003300763849333,,,,-226.194671058465,-905.5252994270016,-36171,-0.04275608867227941,-0.1749046007503825,4.090753064224525,,4.259679809091743,4.362404379108032,
2,5,35,38,-2.395,731.977,0.0,-0.0032719607310065756,,,,-12440.706908215672,40.705504469643905,19299,-0.0444380591782895,-0.00014223916830422272,-0.003200841146854464,,,,0.34316
2,5,43,46,-5.836,731.475,0.0,-0.0079783998086059,,,,-23929.162176543286,190.91642292943249,19304,0.0008220688336312723,6.561490823458679e-06,-0.007981680554017628,,,,0.34563
2,5,46,49,26.252,731.475,0.0,0.03588912813151509,,,,-29596.59532361917,-1062.1960018259688,19305,0.03578238816385537,0.0013075931158806273,0.0365429246894554,,,,1.40455
2,5,49,52,2.627,731.475,0.0,0.003591373594449571,,,,-36093.4089312423,-129.6249157693339,-37160,-0.04817984327213291,-0.00017730303308511426,0.0036800251109921278,,,,
2,5,36,39,-2.456,730.538,0.0,-0.0033619058830615246,,,,-13612.87003385493,45.76518785216882,19311,-0.021156564754575752,-7.038186032106526e-05,-0.003326714952900992,,,,0.34361
2,5,39,42,-3.701,730.538,0.0,-0.00506612934576983,,,,-17564.99359207103,88.98652949505006,19312,-0.0013074731033933021,-6.6195004485083975e-06,-0.005062819595545576,,,,0.25062
2,5,42,45,-5.92,730.538,0.0,-0.008103616786532665,,,,-22214.55071938395,180.01820611488108,19313,0.03141461387945436,0.00025863444295669454,-0.008232934008011013,,,,0.39275
2,5,45,48,-5.781,730.538,0.0,-0.007913346054551577,,,,-27618.090083558098,218.5515041969745,19314,-0.02306648746314891,-0.00018045190179366045,-0.007823120103654747,,,,0.06564
2,5,48,51,31.736,730.538,0.0,0.04344195647591227,,,,-33832.16035235902,-1469.7352375132652,19315,-0.0008309550555410713,-3.608332154702437e-05,0.043423914815138756,,,,1.40969
2,5,51,54,7.343,730.538,0.0,0.010051496294511715,,,,-40913.31019354928,-411.239985806669,19316,0.04826301139432254,0.0004971115299081119,0.010300052059465771,,,,0.25606
2,5,60,63,-10.634,730.538,0.0,-0.014556395423646682,,,,-67924.72382911498,988.739139098594,-23396,0.005974888354615719,8.671378491010608e-05,-0.014513038531191628,,,,
2,5,38,41,-2.749,730.11,0.0,-0.0037651860678527896,,,,-16172.918980680128,60.89404922256875,19320,-0.004484210995453762,-1.6846117991630404e-05,-0.0037567630088569744,,,,0.33931
2,5,41,44,-5.821,730.11,0.0,-0.007972771226253578,,,,-20583.715066320397,164.10925121016155,19321,0.039074127071770326,0.0003177367184651232,-0.00813163958548614,,-0.008461682001521524,-0.008507967004190403,0.33853
2,5,44,47,-5.725,730.11,0.0,-0.007841284190053553,,,,-25729.643832900132,201.75344940262872,19322,-0.029332160267240368,-0.00022667733658085845,-0.007727945521763124,,,,-0.03246
2,5,62,65,-16.397,730.11,0.0,-0.022458259714289625,,,,-75209.7281269409,1689.0796073159522,19328,0.02573683691309096,0.0005855395353826683,-0.02275102948198096,,,,0.71783
2,5,65,68,-22.369,730.11,0.0,-0.03063784909123283,,,,-87084.94835750671,2668.095505895095,-23748,-0.018082150949829453,-0.0005590526492420152,-0.030917375415853834,,-0.03684814905191841,-0.036536251760141636,
