a,b,m,n,vp,i,dev,resist,ip,resError,phaseError,K,app,irecip,reciprocalErrRel,recipError,recipMean,reci_IP_err,resist0,recipMean0,resInvError
1,4,6,9,-1327.788,830.04,0.0,-1.5996674859042939,,,,-27.925268031909276,44.67114330580786,-17298,-0.040862243708872724,-0.06672935831314519,-1.6330321650608663,,,,
1,4,50,53,5.536,820.925,0.0,0.0067436123884642325,,,,-40913.31019354928,-275.9035054742989,37,-0.022692473833314058,-0.0001513124210891269,0.0066679561779196695,,,,-0.12375
1,4,55,58,23.187,818.675,0.0,0.028322594436131557,,,,-54795.65906391278,-1551.955228527738,57,-0.04337121817903943,-0.0012023125428776392,0.02772143816469274,,,,-1.64223
1,4,2,63,-256.607,815.554,0.0,-0.314641335828161,,,,12.5457924965409,-3.9474249101345475,0,,,-0.314641335828161,,-0.5302986849602124,-0.5302986849602124,
1,4,69,72,-30.707,815.554,0.0,-0.03765170669262857,,,,-109543.84517216908,4124.512728405227,68,0.038013313666380874,0.001458996787848832,-0.03838120508655299,,,,-0.50579
2,5,7,10,-924.41,547.206,0.0,-1.6893272369089518,,,,-27.925268031909276,47.17491588428718,-431,-0.04743962826422412,-0.08208817232559751,-1.7303713230717506,,-1.7294176079193677,-1.7735357977596542,
2,5,11,14,287.407,71.396,0.0,4.0255336433413635,,,,-226.194671058465,-910.5542582903838,92,0.02090027178827369,0.08502325177387249,4.0680452692283,,4.259679809091743,4.362404379108032,
2,5,14,17,-278.781,71.396,0.0,-3.9047145498347247,,,,-565.4866776461627,2208.06405794267,-16742,0.014920531907113932,0.05782899832167354,-3.875800050673888,,-4.114269605465012,-4.190024641081042,
2,5,37,40,-2.85,731.079,0.0,-0.0038983475110077027,,,,-14856.242592975721,57.91479633525352,103,0.03570706976400552,0.00014172892891608146,-0.003969211975465743,,-0.004264098444680861,-0.0041814381066031595,0.4116
2,5,43,46,-6.024,731.079,0.0,-0.008239875581161543,,,,-23929.162176543286,197.17331909615342,105,-0.039210671824550354,-0.0003168785469320548,-0.008081436307695516,,,,0.42349
2,5,49,52,2.296,731.079,0.0,0.003140563468517082,,,,-36093.4089312423,-113.35364154370775,107,0.014629691869538223,4.628403643690835e-05,0.0031637054867355366,,,,-0.2787
2,5,42,45,-6.221,729.933,0.0,-0.008522700028632766,,,,-22214.55071938395,189.32795205215763,114,0.007938614999866863,6.792806165123802e-05,-0.008556664059458385,,,,0.45779
2,5,41,44,-6.152,730.469,0.0,-0.008421986422421758,,,,-20583.715066320397,173.35576881154856,122,-0.005364458168033695,-4.505853653764477e-05,-0.008399457154152936,,-0.008461682001521524,-0.008507967004190403,0.40102
2,5,44,47,-5.907,730.469,0.0,-0.008086585467692673,,,,-25729.643832900132,208.0649639080386,123,-0.029850518811133344,-0.00023783896339576484,-0.007967665985994792,,,,0.02651
2,5,65,68,-24.332,730.469,0.0,-0.03331010624680856,,,,-87084.94835750671,2900.808882286385,-4549,0.019019855055079048,0.0006275851038288066,-0.032996313694894155,,-0.03684814905191841,-0.036536251760141636,
2,5,64,67,-22.122,730.402,0.0,-0.030287430757308987,,,,-82997.38724933649,2513.777619351839,132,0.001674697571193112,5.076479456602584e-05,-0.030312813154592,,-0.03294363574497899,-0.032735427601348406,0.82797
2,5,67,70,-28.532,730.402,0.0,-0.039063419870153694,,,,-95658.00564330864,3736.728838386097,-4689,-0.04932006846713188,-0.0019753220519804562,-0.040051080896143926,,-0.04112857723291262,-0.04189227506990759,
2,5,70,1,-5109.104,730.408,0.0,-6.9948631449819825,,,,-8.370005743741341,58.54704470018382,134,-0.036866115998361766,-0.2532060738505395,-6.868260108056713,,,,-1.21095
