6308
1	1 2	1 5	1 4	1 7	-0.396958048
2	1 3	1 6	1 9	1 12	-0.096544494
3	1 4	1 7	1 46	1 49	0.0137624405
4	1 5	1 8	1 18	1 21	-0.007605595
5	1 9	1 12	1 19	1 22	-0.017183769
6	1 11	1 14	1 9	1 12	-0.068020322
7	1 11	1 14	1 48	1 51	0.065538949
8	1 11	1 14	1 47	1 50	0.0650479515
9	1 12	1 15	1 10	1 13	-0.687625117
10	1 16	1 19	1 3	1 6	-0.014575799
11	1 16	1 19	1 71	1 2	-0.0147134715
12	1 17	1 20	1 40	1 43	-0.000419945
13	1 18	1 21	1 32	1 35	-0.002170165
14	1 19	1 22	1 32	1 35	-0.00107792
15	1 19	1 22	1 35	1 38	-0.001182621
16	1 21	1 24	1 23	1 26	-12.244043999999999
17	1 22	1 25	1 1	1 4	-0.010863183
18	1 22	1 25	1 4	1 7	-0.016052766
19	1 22	1 25	1 7	1 10	-0.029238661
20	1 22	1 25	1 10	1 13	-0.074707656
21	1 22	1 25	1 13	1 16	-0.597761491
22	1 22	1 25	1 16	1 19	-0.629119518
23	1 22	1 25	1 19	1 2	1.35572415
24	1 22	1 25	1 2	1 5	-0.013649864
25	1 22	1 25	1 5	1 8	-0.020970269
26	1 22	1 25	1 8	1 11	-0.033906994
27	1 22	1 25	1 3	1 6	-0.013850495
28	1 22	1 25	1 6	1 9	-0.025957909
29	1 22	1 25	1 9	1 12	-0.044666775
30	1 22	1 25	1 12	1 15	-0.446844626
31	1 22	1 25	1 15	1 18	-0.565958879
32	1 22	1 25	1 18	1 21	-3.426509647
33	1 22	1 25	1 21	1 24	1.833942413
34	1 22	1 25	1 24	1 27	6.8337748075
35	1 22	1 25	1 27	1 30	-3.101620693
36	1 22	1 25	1 30	1 33	-0.403276191
37	1 22	1 25	1 11	1 14	-0.181580133
38	1 22	1 25	1 14	1 17	-0.654410887
39	1 22	1 25	1 17	1 20	-1.165768791
40	1 22	1 25	1 20	1 23	-3.979598517
41	1 22	1 25	1 23	1 26	76.089958635
42	1 22	1 25	1 26	1 29	-68.52311015
43	1 22	1 25	1 29	1 32	-0.731487663
