Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,4,2,5,6527.037,617.326,0.0
1,4,5,8,-3688.6,617.326,0.0
1,4,8,11,-468.632,617.326,0.0
1,4,11,14,-5756.949,617.326,0.0
1,4,14,17,5341.71,617.326,0.0
1,4,17,20,-1627.884,617.326,0.0
1,4,20,23,2103.339,617.326,0.0
1,4,23,26,-65.234,617.326,0.0
1,4,26,29,1.174,808.148,0.0
1,4,29,32,8.251,808.148,0.0
1,4,3,6,-3192.566,810.328,0.0
1,4,6,9,-1631.11,810.328,0.0
1,4,9,12,-467.163,810.328,0.0
1,4,12,15,-647.971,810.328,0.0
1,4,15,18,462.552,810.328,0.0
1,4,18,21,100.549,810.328,0.0
1,4,21,24,109.032,810.328,0.0
1,4,24,27,46.559,810.328,0.0
1,4,27,30,1.796,810.328,0.0
1,4,30,33,11.073,810.328,0.0
1,4,7,10,-134.699,126.26,0.0
1,4,10,13,-324.116,126.26,0.0
1,4,13,16,-790.052,126.26,0.0
1,4,16,19,1028.057,126.26,0.0
1,4,19,22,93.086,126.26,0.0
1,4,22,25,-41.252,126.26,0.0
1,4,25,28,1.05,814.158,0.0
1,4,28,31,5.815,814.158,0.0
1,4,31,34,11.955,814.158,0.0
1,4,34,37,4.815,814.158,0.0
1,4,32,35,10.533,813.315,0.0
1,4,35,38,4.149,813.315,0.0
1,4,38,41,0.811,813.315,0.0
1,4,41,44,-1.562,813.315,0.0
1,4,44,47,-3.876,813.315,0.0
1,4,47,50,-33.676,813.315,0.0
1,4,50,53,9.489,813.315,0.0
1,4,53,56,29.802,813.315,0.0
1,4,56,59,16.909,813.315,0.0
1,4,59,62,16.531,813.315,0.0
1,4,33,36,7.236,805.114,0.0
1,4,36,39,2.979,805.114,0.0
1,4,39,42,-0.62,805.114,0.0
1,4,42,45,-2.808,805.114,0.0
1,4,45,48,-4.785,805.114,0.0
1,4,48,51,-26.657,805.114,0.0
1,4,51,54,17.249,805.114,0.0
1,4,54,57,26.275,805.114,0.0
1,4,57,60,17.77,805.114,0.0
1,4,60,63,9.321,805.114,0.0
1,4,37,40,2.137,808.35,0.0
1,4,40,43,-1.03,808.35,0.0
1,4,43,46,-3.59,808.35,0.0
1,4,46,49,-34.205,808.35,0.0
1,4,49,52,3.943,808.35,0.0
1,4,52,55,24.441,808.35,0.0
1,4,55,58,22.753,808.35,0.0
1,4,58,61,19.033,808.35,0.0
1,4,61,64,5.129,808.35,0.0
1,4,64,67,-8.021,808.35,0.0
1,4,62,65,-0.897,795.725,0.0
1,4,65,68,-17.169,795.725,0.0
1,4,68,71,-30.723,795.725,0.0
1,4,71,2,-3093.081,795.725,0.0
1,4,2,63,3320.925,799.921,0.0
1,4,63,66,-5.758,799.921,0.0
1,4,66,69,-23.016,799.921,0.0
1,4,69,72,-33.158,799.921,0.0
1,4,72,3,57.156,9.753,0.0
1,4,67,70,-25.181,812.144,0.0
2,5,1,4,6918.477,690.809,0.0
2,5,4,7,-235.598,690.809,0.0
2,5,7,10,-1319.361,690.809,0.0
2,5,10,13,-235.871,690.809,0.0
2,5,13,16,1940.946,690.809,0.0
2,5,16,19,-1911.937,690.809,0.0
2,5,19,22,114.335,690.809,0.0
2,5,22,25,-104.122,690.809,0.0
2,5,25,28,-0.119,692.733,0.0
2,5,28,31,-0.701,692.733,0.0
2,5,3,6,6485.302,417.752,0.0
2,5,6,9,-2523.189,417.752,0.0
2,5,9,12,-2572.194,417.752,0.0
2,5,12,15,2533.297,417.752,0.0
2,5,15,18,-92.388,417.752,0.0
2,5,18,21,-34.599,417.752,0.0
2,5,21,24,36.381,417.752,0.0
2,5,24,27,-80.7,417.752,0.0
2,5,27,30,-0.207,693.62,0.0
2,5,30,33,-2.356,693.62,0.0
2,5,8,11,-85.11,94.192,0.0
2,5,11,14,389.443,94.192,0.0
2,5,14,17,-371.163,94.192,0.0
2,5,17,20,-34.434,94.192,0.0
2,5,20,23,392.172,94.192,0.0
2,5,23,26,-399.158,94.192,0.0
2,5,26,29,-0.2,696.373,0.0
2,5,29,32,-1.895,696.373,0.0
2,5,32,35,-3.316,696.373,0.0
2,5,35,38,-3.435,696.373,0.0
2,5,31,34,-3.224,696.563,0.0
2,5,34,37,-2.82,696.563,0.0
2,5,37,40,-3.313,696.563,0.0
2,5,40,43,-5.416,696.563,0.0
2,5,43,46,-6.197,696.563,0.0
2,5,46,49,39.038,696.563,0.0
2,5,49,52,1.107,696.563,0.0
2,5,52,55,1.615,696.563,0.0
2,5,55,58,0.273,696.563,0.0
2,5,58,61,-4.006,696.563,0.0
2,5,33,36,-2.992,696.466,0.0
2,5,36,39,-3.513,696.466,0.0
2,5,39,42,-4.121,696.466,0.0
2,5,42,45,-6.364,696.466,0.0
2,5,45,48,-5.971,696.466,0.0
2,5,48,51,43.561,696.466,0.0
2,5,51,54,1.555,696.466,0.0
2,5,54,57,1.03,696.466,0.0
2,5,57,60,-2.556,696.466,0.0
2,5,60,63,-7.588,696.466,0.0
2,5,38,41,-3.198,696.678,0.0
2,5,41,44,-6.162,696.678,0.0
2,5,44,47,-5.981,696.678,0.0
2,5,47,50,41.325,696.678,0.0
2,5,50,53,1.183,696.678,0.0
2,5,53,56,0.576,696.678,0.0
2,5,56,59,-0.204,696.678,0.0
2,5,59,62,-5.141,696.678,0.0
2,5,62,65,-18.658,696.678,0.0
2,5,65,68,-29.521,696.678,0.0
2,5,61,64,-12.533,697.688,0.0
2,5,64,67,-27.998,697.688,0.0
2,5,67,70,-30.027,697.688,0.0
2,5,70,1,-5278.585,697.448,0.0
2,5,1,63,5343.142,697.448,0.0
