Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,4,2,5,971.346,91.442,0.0
1,4,5,8,-485.887,91.442,0.0
1,4,8,11,-58.788,91.442,0.0
1,4,11,14,-279.685,91.442,0.0
1,4,14,17,146.648,91.442,0.0
1,4,17,20,52.726,91.442,0.0
1,4,20,23,121.226,91.442,0.0
1,4,23,26,-51.041,91.442,0.0
1,4,26,29,0.821,825.738,0.0
1,4,29,32,5.068,825.738,0.0
1,4,3,6,-5004.598,832.258,0.0
1,4,6,9,-1472.516,832.258,0.0
1,4,9,12,-621.659,832.258,0.0
1,4,12,15,-537.087,832.258,0.0
1,4,15,18,356.241,832.258,0.0
1,4,18,21,122.644,832.258,0.0
1,4,21,24,115.811,832.258,0.0
1,4,24,27,25.233,832.258,0.0
1,4,27,30,1.56,832.258,0.0
1,4,30,33,9.058,832.258,0.0
1,4,7,10,-254.439,251.013,0.0
1,4,10,13,-672.883,251.013,0.0
1,4,13,16,-518.715,251.013,0.0
1,4,16,19,1035.813,251.013,0.0
1,4,19,22,192.334,251.013,0.0
1,4,22,25,-114.262,251.013,0.0
1,4,25,28,0.993,829.385,0.0
1,4,28,31,4.604,829.385,0.0
1,4,31,34,9.217,829.385,0.0
1,4,34,37,3.766,829.385,0.0
1,4,32,35,8.177,829.415,0.0
1,4,35,38,3.176,829.415,0.0
1,4,38,41,0.188,829.415,0.0
1,4,41,44,-2.299,829.415,0.0
1,4,44,47,-4.277,829.415,0.0
1,4,47,50,-19.349,829.415,0.0
1,4,50,53,8.268,829.415,0.0
1,4,53,56,17.3,829.415,0.0
1,4,56,59,18.642,829.415,0.0
1,4,59,62,15.027,829.415,0.0
1,4,33,36,5.93,826.745,0.0
1,4,36,39,2.531,826.745,0.0
1,4,39,42,-0.917,826.745,0.0
1,4,42,45,-3.031,826.745,0.0
1,4,45,48,-4.935,826.745,0.0
1,4,48,51,-16.255,826.745,0.0
1,4,51,54,14.245,826.745,0.0
1,4,54,57,14.915,826.745,0.0
1,4,57,60,20.575,826.745,0.0
1,4,60,63,9.846,826.745,0.0
1,4,37,40,1.52,827.255,0.0
1,4,40,43,-1.523,827.255,0.0
1,4,43,46,-3.933,827.255,0.0
1,4,46,49,-21.063,827.255,0.0
1,4,49,52,1.514,827.255,0.0
1,4,52,55,22.001,827.255,0.0
1,4,55,58,14.512,827.255,0.0
1,4,58,61,18.549,827.255,0.0
1,4,61,64,4.725,827.255,0.0
1,4,64,67,-9.343,827.255,0.0
1,4,62,65,0.928,826.812,0.0
1,4,65,68,-16.795,826.812,0.0
1,4,68,71,-30.092,826.812,0.0
1,4,71,2,-3068.868,826.812,0.0
1,4,2,63,3007.333,829.913,0.0
1,4,63,66,-4.113,829.913,0.0
1,4,66,69,-22.751,829.913,0.0
1,4,69,72,-33.136,829.913,0.0
1,4,72,3,6905.863,829.913,0.0
1,4,67,70,-27.365,824.9,0.0
2,5,1,4,5844.134,615.57,0.0
2,5,4,7,-463.841,615.57,0.0
2,5,7,10,-1134.769,615.57,0.0
2,5,10,13,-98.773,615.57,0.0
