Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,4,2,5,824.775,96.031,0.0
1,4,5,8,-482.059,96.031,0.0
1,4,8,11,-59.227,96.031,0.0
1,4,11,14,-372.262,96.031,0.0
1,4,14,17,306.683,96.031,0.0
1,4,17,20,-105.475,96.031,0.0
1,4,20,23,210.436,96.031,0.0
1,4,23,26,-53.336,96.031,0.0
1,4,26,29,0.909,834.107,0.0
1,4,29,32,6.826,834.107,0.0
1,4,3,6,-5491.658,830.04,0.0
1,4,6,9,-1327.788,830.04,0.0
1,4,9,12,-630.202,830.04,0.0
1,4,12,15,-424.446,830.04,0.0
1,4,15,18,242.437,830.04,0.0
1,4,18,21,33.856,830.04,0.0
1,4,21,24,132.294,830.04,0.0
1,4,24,27,26.231,830.04,0.0
1,4,27,30,1.893,830.04,0.0
1,4,30,33,9.838,830.04,0.0
1,4,7,10,-526.945,539.708,0.0
1,4,10,13,-1602.724,539.708,0.0
1,4,13,16,-2867.514,539.708,0.0
1,4,16,19,4837.716,539.708,0.0
1,4,19,22,322.339,539.708,0.0
1,4,22,25,-110.125,539.708,0.0
1,4,25,28,0.85,823.334,0.0
1,4,28,31,5.504,823.334,0.0
1,4,31,34,9.319,823.334,0.0
1,4,34,37,3.409,823.334,0.0
1,4,32,35,7.796,820.925,0.0
1,4,35,38,2.617,820.925,0.0
1,4,38,41,0.188,820.925,0.0
1,4,41,44,-2.617,820.925,0.0
1,4,44,47,-4.461,820.925,0.0
1,4,47,50,-19.681,820.925,0.0
1,4,50,53,5.536,820.925,0.0
1,4,53,56,25.929,820.925,0.0
1,4,56,59,14.829,820.925,0.0
1,4,59,62,14.15,820.925,0.0
1,4,33,36,5.564,818.973,0.0
1,4,36,39,2.226,818.973,0.0
1,4,39,42,-1.075,818.973,0.0
1,4,42,45,-3.247,818.973,0.0
1,4,45,48,-5.068,818.973,0.0
1,4,48,51,-16.844,818.973,0.0
1,4,51,54,11.82,818.973,0.0
1,4,54,57,24.53,818.973,0.0
1,4,57,60,13.472,818.973,0.0
1,4,60,63,10.472,818.973,0.0
1,4,37,40,1.281,818.675,0.0
1,4,40,43,-1.661,818.675,0.0
1,4,43,46,-4.092,818.675,0.0
1,4,46,49,-22.003,818.675,0.0
1,4,49,52,3.469,818.675,0.0
1,4,52,55,16.336,818.675,0.0
1,4,55,58,23.187,818.675,0.0
1,4,58,61,13.885,818.675,0.0
1,4,61,64,4.764,818.675,0.0
1,4,64,67,-8.488,818.675,0.0
1,4,62,65,-0.655,815.554,0.0
1,4,65,68,-13.282,815.554,0.0
1,4,68,71,-29.154,815.554,0.0
1,4,71,2,300.833,815.554,0.0
1,4,2,63,-256.607,815.554,0.0
1,4,63,66,-4.562,815.554,0.0
1,4,66,69,-19.89,815.554,0.0
1,4,69,72,-30.707,815.554,0.0
1,4,72,3,58.934,11.165,0.0
1,4,67,70,-24.984,816.673,0.0
2,5,1,4,3292.174,547.206,0.0
2,5,4,7,1593.005,547.206,0.0
2,5,7,10,-924.41,547.206,0.0
2,5,10,13,-110.162,547.206,0.0
2,5,13,16,3290.028,547.206,0.0
2,5,16,19,-6206.682,547.206,0.0
2,5,19,22,2580.352,547.206,0.0
2,5,22,25,-67.218,547.206,0.0
2,5,25,28,-0.033,729.127,0.0
2,5,28,31,0.091,729.127,0.0
2,5,3,6,7809.832,510.692,0.0
2,5,6,9,-2619.639,510.692,0.0
2,5,9,12,-3593.196,510.692,0.0
2,5,12,15,3598.343,510.692,0.0
2,5,15,18,-309.404,510.692,0.0
2,5,18,21,47.787,510.692,0.0
2,5,21,24,86.291,510.692,0.0
2,5,24,27,-91.01,510.692,0.0
2,5,27,30,0.006,728.799,0.0
2,5,30,33,-1.03,728.799,0.0
2,5,8,11,-70.799,71.396,0.0
2,5,11,14,287.407,71.396,0.0
2,5,14,17,-278.781,71.396,0.0
2,5,17,20,-32.382,71.396,0.0
2,5,20,23,325.684,71.396,0.0
2,5,23,26,-323.266,71.396,0.0
2,5,26,29,-0.01,731.839,0.0
2,5,29,32,-0.893,731.839,0.0
2,5,32,35,-1.825,731.839,0.0
2,5,35,38,-2.958,731.839,0.0
2,5,31,34,-1.219,731.079,0.0
2,5,34,37,-1.997,731.079,0.0
2,5,37,40,-2.85,731.079,0.0
2,5,40,43,-5.03,731.079,0.0
2,5,43,46,-6.024,731.079,0.0
2,5,46,49,32.231,731.079,0.0
2,5,49,52,2.296,731.079,0.0
2,5,52,55,5.132,731.079,0.0
2,5,55,58,2.531,731.079,0.0
2,5,58,61,-2.98,731.079,0.0
2,5,33,36,-1.874,729.933,0.0
2,5,36,39,-3.033,729.933,0.0
2,5,39,42,-3.968,729.933,0.0
2,5,42,45,-6.221,729.933,0.0
2,5,45,48,-5.862,729.933,0.0
2,5,48,51,39.601,729.933,0.0
2,5,51,54,4.199,729.933,0.0
2,5,54,57,3.253,729.933,0.0
2,5,57,60,-1.633,729.933,0.0
2,5,60,63,-10.481,729.933,0.0
2,5,38,41,-3.113,730.469,0.0
2,5,41,44,-6.152,730.469,0.0
2,5,44,47,-5.907,730.469,0.0
2,5,47,50,40.457,730.469,0.0
2,5,50,53,2.432,730.469,0.0
2,5,53,56,3.094,730.469,0.0
2,5,56,59,-1.088,730.469,0.0
2,5,59,62,-7.605,730.469,0.0
2,5,62,65,-17.86,730.469,0.0
2,5,65,68,-24.332,730.469,0.0
2,5,61,64,-14.223,730.402,0.0
2,5,64,67,-22.122,730.402,0.0
2,5,67,70,-28.532,730.402,0.0
2,5,70,1,-5109.104,730.408,0.0
2,5,1,63,5166.136,730.408,0.0
2,5,63,66,-20.066,730.408,0.0
2,5,66,69,-27.615,730.408,0.0
2,5,69,72,-27.4,730.408,0.0
2,5,72,3,-54.874,7.724,0.0
2,5,68,71,-29.613,730.734,0.0
3,6,1,4,-97.112,34.379,0.0
3,6,4,7,423.272,34.379,0.0
3,6,7,10,-178.688,34.379,0.0
3,6,10,13,-55.141,34.379,0.0
3,6,13,16,55.502,34.379,0.0
3,6,16,19,105.647,34.379,0.0
3,6,19,22,-140.746,34.379,0.0
3,6,22,25,-98.95,845.068,0.0
3,6,25,28,-0.42,845.068,0.0
3,6,28,31,-2.321,845.068,0.0
3,6,2,5,4885.24,289.782,0.0
3,6,5,8,-507.825,289.782,0.0
3,6,8,11,-516.673,289.782,0.0
3,6,11,14,96.93,289.782,0.0
3,6,14,17,-116.87,289.782,0.0
3,6,17,20,-53.378,289.782,0.0
3,6,20,23,-52.609,843.938,0.0
3,6,23,26,-115.047,843.938,0.0
3,6,26,29,-0.181,843.938,0.0
3,6,29,32,-2.588,843.938,0.0
3,6,9,12,2675.681,842.604,0.0
3,6,12,15,-1094.155,842.604,0.0
3,6,15,18,1390.41,842.604,0.0
3,6,18,21,-1090.994,842.604,0.0
3,6,21,24,-465.245,842.604,0.0
3,6,24,27,-59.554,842.604,0.0
3,6,27,30,-0.436,842.604,0.0
3,6,30,33,-3.032,842.604,0.0
3,6,33,36,-3.207,842.604,0.0
3,6,36,39,-4.376,842.604,0.0
3,6,31,34,-3.421,842.287,0.0
3,6,34,37,-3.456,842.287,0.0
3,6,37,40,-4.229,842.287,0.0
3,6,40,43,-6.711,842.287,0.0
3,6,43,46,-7.256,842.287,0.0
3,6,46,49,45.754,842.287,0.0
3,6,49,52,2.592,842.287,0.0
3,6,52,55,4.33,842.287,0.0
3,6,55,58,-0.064,842.287,0.0
3,6,58,61,-6.771,842.287,0.0
3,6,32,35,-2.982,840.304,0.0
3,6,35,38,-4.089,840.304,0.0
3,6,38,41,-3.946,840.304,0.0
3,6,41,44,-7.626,840.304,0.0
3,6,44,47,-6.747,840.304,0.0
3,6,47,50,46.136,840.304,0.0
3,6,50,53,3.444,840.304,0.0
3,6,53,56,5.291,840.304,0.0
3,6,56,59,-1.154,840.304,0.0
3,6,59,62,-11.626,840.304,0.0
3,6,39,42,-5.163,840.483,0.0
3,6,42,45,-7.716,840.483,0.0
3,6,45,48,-6.553,840.483,0.0
3,6,48,51,48.646,840.483,0.0
3,6,51,54,5.272,840.483,0.0
3,6,54,57,3.645,840.483,0.0
3,6,57,60,-3.161,840.483,0.0
3,6,60,63,-17.357,840.483,0.0
3,6,63,66,-29.576,840.483,0.0
3,6,66,69,-33.437,840.483,0.0
3,6,61,64,-22.232,839.876,0.0
3,6,64,67,-31.05,839.876,0.0
3,6,67,70,-32.392,839.876,0.0
3,6,70,1,-2547.19,839.876,0.0
3,6,1,62,2626.787,839.876,0.0
3,6,62,65,-26.619,839.876,0.0
3,6,65,68,-31.447,839.876,0.0
3,6,68,71,-31.299,839.876,0.0
3,6,71,2,-58.38,5.908,0.0
3,6,69,72,-26.914,841.576,0.0
4,7,2,5,-31.354,252.751,0.0
4,7,5,8,2723.966,252.751,0.0
4,7,8,11,-1498.572,252.751,0.0
4,7,11,14,-116.483,252.751,0.0
4,7,14,17,21.831,844.197,0.0
4,7,17,20,-154.089,844.197,0.0
4,7,20,23,-564.888,844.197,0.0
4,7,23,26,555.284,844.197,0.0
4,7,26,29,0.087,844.197,0.0
4,7,29,32,-0.523,844.197,0.0
4,7,3,6,9672.694,559.266,0.0
4,7,6,9,-1640.187,559.266,0.0
4,7,9,12,-642.033,559.266,0.0
4,7,12,15,-155.741,559.266,0.0
4,7,15,18,-44.045,559.266,0.0
4,7,18,21,-77.272,559.266,0.0
4,7,21,24,-5.112,846.811,0.0
4,7,24,27,1.538,846.811,0.0
4,7,27,30,0.021,846.811,0.0
4,7,30,33,-1.234,846.811,0.0
4,7,10,13,-915.877,848.255,0.0
4,7,13,16,41.834,848.255,0.0
4,7,16,19,-161.009,848.255,0.0
4,7,19,22,-215.084,848.255,0.0
4,7,22,25,190.003,848.255,0.0
4,7,25,28,0.062,848.255,0.0
4,7,28,31,-0.094,848.255,0.0
4,7,31,34,-1.768,848.255,0.0
4,7,34,37,-3.262,848.255,0.0
4,7,37,40,-4.597,848.255,0.0
4,7,32,35,-2.137,848.621,0.0
4,7,35,38,-4.416,848.621,0.0
4,7,38,41,-4.518,848.621,0.0
4,7,41,44,-8.692,848.621,0.0
4,7,44,47,-7.126,848.621,0.0
4,7,47,50,42.926,848.621,0.0
4,7,50,53,5.711,848.621,0.0
4,7,53,56,14.053,848.621,0.0
4,7,56,59,0.769,848.621,0.0
4,7,59,62,-15.816,848.621,0.0
4,7,33,36,-2.598,848.604,0.0
4,7,36,39,-4.728,848.604,0.0
