Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,4,2,5,4490.849,493.974,0.0
1,4,5,8,-2456.432,493.974,0.0
1,4,8,11,-308.324,493.974,0.0
1,4,11,14,-3562.931,493.974,0.0
1,4,14,17,2746.318,493.974,0.0
1,4,17,20,54.183,493.974,0.0
1,4,20,23,999.275,493.974,0.0
1,4,23,26,-624.634,493.974,0.0
1,4,26,29,0.684,800.499,0.0
1,4,29,32,4.461,800.499,0.0
1,4,3,6,-5004.188,798.971,0.0
1,4,6,9,-1312.088,798.971,0.0
1,4,9,12,-589.524,798.971,0.0
1,4,12,15,-363.856,798.971,0.0
1,4,15,18,270.742,798.971,0.0
1,4,18,21,75.482,798.971,0.0
1,4,21,24,67.042,798.971,0.0
1,4,24,27,-17.825,798.971,0.0
1,4,27,30,1.358,798.971,0.0
1,4,30,33,6.085,798.971,0.0
1,4,7,10,-112.202,116.338,0.0
1,4,10,13,-259.448,116.338,0.0
1,4,13,16,-449.921,116.338,0.0
1,4,16,19,656.148,116.338,0.0
1,4,19,22,61.133,116.338,0.0
1,4,22,25,-46.321,116.338,0.0
1,4,25,28,0.692,799.58,0.0
1,4,28,31,4.093,799.58,0.0
1,4,31,34,7.035,799.58,0.0
1,4,34,37,2.499,799.58,0.0
1,4,32,35,6.453,801.059,0.0
1,4,35,38,2.035,801.059,0.0
1,4,38,41,-0.232,801.059,0.0
1,4,41,44,-3.018,801.059,0.0
1,4,44,47,-4.725,801.059,0.0
1,4,47,50,-12.623,801.059,0.0
1,4,50,53,8.071,801.059,0.0
1,4,53,56,24.171,801.059,0.0
1,4,56,59,10.658,801.059,0.0
1,4,59,62,11.06,801.059,0.0
1,4,33,36,4.912,799.017,0.0
1,4,36,39,1.758,799.017,0.0
1,4,39,42,-1.335,799.017,0.0
1,4,42,45,-3.552,799.017,0.0
1,4,45,48,-5.208,799.017,0.0
1,4,48,51,-12.295,799.017,0.0
1,4,51,54,16.396,799.017,0.0
1,4,54,57,20.069,799.017,0.0
1,4,57,60,12.922,799.017,0.0
1,4,60,63,6.494,799.017,0.0
1,4,37,40,1.017,800.64,0.0
1,4,40,43,-1.962,800.64,0.0
1,4,43,46,-4.27,800.64,0.0
1,4,46,49,-18.023,800.64,0.0
1,4,49,52,2.512,800.64,0.0
1,4,52,55,21.615,800.64,0.0
1,4,55,58,16.225,800.64,0.0
1,4,58,61,15.387,800.64,0.0
1,4,61,64,1.598,800.64,0.0
1,4,64,67,-10.548,800.64,0.0
1,4,62,65,-2.219,802.985,0.0
1,4,65,68,-15.503,802.985,0.0
1,4,68,71,-30.087,802.985,0.0
1,4,71,2,-2161.511,802.985,0.0
1,4,2,63,2240.706,802.742,0.0
1,4,63,66,-6.588,802.742,0.0
1,4,66,69,-22.483,802.742,0.0
1,4,69,72,-32.526,802.742,0.0
1,4,72,3,7081.006,802.742,0.0
1,4,67,70,-26.853,801.983,0.0
2,5,1,4,3120.439,325.507,0.0
2,5,4,7,3.335,325.507,0.0
2,5,7,10,-558.267,325.507,0.0
2,5,10,13,-64.443,325.507,0.0
2,5,13,16,933.768,325.507,0.0
2,5,16,19,-1934.476,325.507,0.0
2,5,19,22,1013.131,325.507,0.0
2,5,22,25,-62.754,325.507,0.0
2,5,25,28,-0.215,721.703,0.0
2,5,28,31,-0.974,721.703,0.0
2,5,3,6,1039.989,79.733,0.0
2,5,6,9,-415.165,79.733,0.0
2,5,9,12,-109.319,79.733,0.0
2,5,12,15,108.647,79.733,0.0
2,5,15,18,-32.888,79.733,0.0
2,5,18,21,-6.982,722.058,0.0
2,5,21,24,118.626,722.058,0.0
2,5,24,27,-167.956,722.058,0.0
2,5,27,30,-0.375,722.058,0.0
2,5,30,33,-2.35,722.058,0.0
2,5,8,11,-75.835,75.161,0.0
2,5,11,14,300.204,75.161,0.0
2,5,14,17,-290.465,75.161,0.0
2,5,17,20,-31.323,75.161,0.0
2,5,20,23,476.46,75.161,0.0
2,5,23,26,-476.191,75.161,0.0
2,5,26,29,-0.105,723.014,0.0
2,5,29,32,-1.524,723.014,0.0
2,5,32,35,-2.492,723.014,0.0
2,5,35,38,-3.282,723.014,0.0
2,5,31,34,-2.464,722.417,0.0
2,5,34,37,-2.627,722.417,0.0
2,5,37,40,-3.283,722.417,0.0
2,5,40,43,-5.465,722.417,0.0
2,5,43,46,-6.261,722.417,0.0
2,5,46,49,39.15,722.417,0.0
2,5,49,52,1.612,722.417,0.0
2,5,52,55,3.82,722.417,0.0
2,5,55,58,1.197,722.417,0.0
2,5,58,61,-5.972,722.417,0.0
2,5,33,36,-2.671,723.093,0.0
2,5,36,39,-3.487,723.093,0.0
2,5,39,42,-4.26,723.093,0.0
2,5,42,45,-6.51,723.093,0.0
2,5,45,48,-6.134,723.093,0.0
2,5,48,51,45.257,723.093,0.0
2,5,51,54,3.436,723.093,0.0
2,5,54,57,2.954,723.093,0.0
2,5,57,60,-5.539,723.093,0.0
2,5,60,63,-9.732,723.093,0.0
2,5,38,41,-3.364,723.74,0.0
2,5,41,44,-6.406,723.74,0.0
2,5,44,47,-6.171,723.74,0.0
2,5,47,50,44.747,723.74,0.0
2,5,50,53,1.005,723.74,0.0
2,5,53,56,3.918,723.74,0.0
2,5,56,59,-3.326,723.74,0.0
2,5,59,62,-7.125,723.74,0.0
2,5,62,65,-20.673,723.74,0.0
2,5,65,68,-26.656,723.74,0.0
2,5,61,64,-14.384,724.032,0.0
2,5,64,67,-25.798,724.032,0.0
2,5,67,70,-30.459,724.032,0.0
2,5,70,1,-5209.17,724.135,0.0
2,5,1,63,5273.543,724.135,0.0
2,5,63,66,-23.916,724.135,0.0
2,5,66,69,-29.468,724.135,0.0
2,5,69,72,-28.582,724.135,0.0
2,5,72,3,-54.015,7.614,0.0
2,5,68,71,-31.184,724.359,0.0
3,6,1,4,-101.907,35.756,0.0
3,6,4,7,444.536,35.756,0.0
3,6,7,10,-192.646,35.756,0.0
3,6,10,13,-56.047,35.756,0.0
3,6,13,16,51.39,35.756,0.0
3,6,16,19,86.635,35.756,0.0
3,6,19,22,-115.216,35.756,0.0
3,6,22,25,-87.905,829.377,0.0
3,6,25,28,-0.439,829.377,0.0
3,6,28,31,-2.177,829.377,0.0
3,6,2,5,442.574,29.798,0.0
3,6,5,8,-52.641,29.798,0.0
3,6,8,11,-53.179,29.798,0.0
3,6,11,14,33.562,827.476,0.0
3,6,14,17,-49.583,827.476,0.0
3,6,17,20,-154.61,827.476,0.0
3,6,20,23,-39.059,827.476,0.0
3,6,23,26,-133.237,827.476,0.0
3,6,26,29,-0.227,827.476,0.0
3,6,29,32,-2.649,827.476,0.0
3,6,9,12,1439.62,826.719,0.0
3,6,12,15,-1025.86,826.719,0.0
3,6,15,18,1388.615,826.719,0.0
3,6,18,21,-922.521,826.719,0.0
3,6,21,24,-592.128,826.719,0.0
3,6,24,27,-74.549,826.719,0.0
3,6,27,30,-0.572,826.719,0.0
3,6,30,33,-3.068,826.719,0.0
3,6,33,36,-3.475,826.719,0.0
3,6,36,39,-4.546,826.719,0.0
3,6,31,34,-3.402,826.565,0.0
3,6,34,37,-3.439,826.565,0.0
3,6,37,40,-4.235,826.565,0.0
3,6,40,43,-6.828,826.565,0.0
3,6,43,46,-7.32,826.565,0.0
3,6,46,49,46.337,826.565,0.0
3,6,49,52,2.261,826.565,0.0
3,6,52,55,5.04,826.565,0.0
3,6,55,58,1.428,826.565,0.0
3,6,58,61,-8.666,826.565,0.0
3,6,32,35,-3.16,826.854,0.0
3,6,35,38,-4.165,826.854,0.0
3,6,38,41,-4.019,826.854,0.0
3,6,41,44,-7.668,826.854,0.0
3,6,44,47,-6.9,826.854,0.0
3,6,47,50,47.345,826.854,0.0
3,6,50,53,2.633,826.854,0.0
3,6,53,56,7.834,826.854,0.0
3,6,56,59,-3.208,826.854,0.0
3,6,59,62,-9.607,826.854,0.0
3,6,39,42,-5.322,827.321,0.0
3,6,42,45,-7.837,827.321,0.0
3,6,45,48,-6.715,827.321,0.0
3,6,48,51,52.221,827.321,0.0
