Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,1,1,1,53.0,0.000672629,0.0
2,1,1,1,54.0,0.00068031,0.0
3,1,1,1,52.0,0.000649044,0.0
4,1,2,1,7.0,-0.396572434,0.0
5,1,3,1,12.0,-0.096545849,0.0
6,1,4,1,26.0,-0.015082482,0.0
7,1,4,1,50.0,0.015303572,0.0
8,1,5,1,21.0,-0.007591828,0.0
9,1,5,1,67.0,-0.007818765,0.0
10,1,5,1,66.0,-0.007430691,0.0
11,1,6,1,23.0,-0.005572198,0.0
12,1,6,1,64.0,-0.005260067,0.0
13,1,7,1,64.0,0.005968657,0.0
14,1,7,1,65.0,-0.005842877,0.0
15,1,7,1,68.0,-0.005873699,0.0
16,1,8,1,34.0,-0.001472656,0.0
17,1,8,1,46.0,-0.001466877,0.0
18,1,8,1,42.0,-0.001477667,0.0
19,1,8,1,47.0,-0.001404657,0.0
20,1,8,1,72.0,-0.001391444,0.0
21,1,9,1,22.0,-0.017192242,0.0
22,1,10,1,58.0,-0.017711427,0.0
23,1,11,1,12.0,-0.066350998,0.0
24,1,11,1,24.0,-0.064067221,0.0
25,1,11,1,51.0,0.064912458,0.0
26,1,11,1,49.0,0.063654303,0.0
27,1,11,1,50.0,0.064449948,0.0
28,1,12,1,13.0,-0.681020687,0.0
29,1,16,1,6.0,-0.014582078,0.0
30,1,16,1,2.0,-0.0148267,0.0
31,1,17,1,42.0,-0.000593057,0.0
32,1,17,1,68.0,0.000577639,0.0
33,1,18,1,52.0,-0.002239678,0.0
34,1,18,1,35.0,-0.002137539,0.0
35,1,18,1,62.0,0.002110957,0.0
36,1,19,1,35.0,-0.001081023,0.0
37,1,21,1,26.0,-12.24906716,0.0
38,1,22,1,4.0,-0.010863963,0.0
39,1,22,1,7.0,-0.016064304,0.0
40,1,22,1,10.0,-0.029230199,0.0
41,1,22,1,13.0,-0.075005357,0.0
42,1,22,1,16.0,-0.598033368,0.0
43,1,22,1,19.0,-0.629067471,0.0
44,1,22,1,2.0,1.355977207,0.0
45,1,22,1,5.0,-0.013736311,0.0
46,1,22,1,8.0,-0.021044585,0.0
47,1,22,1,11.0,-0.033984631,0.0
48,1,22,1,6.0,-0.013929906,0.0
49,1,22,1,9.0,-0.025884246,0.0
50,1,22,1,12.0,-0.045100595,0.0
51,1,22,1,15.0,-0.447126921,0.0
52,1,22,1,18.0,-0.566107932,0.0
53,1,22,1,21.0,-3.42464584,0.0
54,1,22,1,24.0,1.833821697,0.0
55,1,22,1,27.0,6.836039523,0.0
56,1,22,1,30.0,-3.111759379,0.0
57,1,22,1,33.0,-0.401991717,0.0
58,1,22,1,14.0,-0.178001372,0.0
59,1,22,1,17.0,-0.658305652,0.0
60,1,22,1,20.0,-1.165793185,0.0
61,1,22,1,23.0,-3.989510516,0.0
62,1,22,1,26.0,78.31806158,0.0
63,1,22,1,29.0,-70.81609067,0.0
64,1,22,1,32.0,-0.729646023,0.0
65,1,22,1,35.0,-0.32473383,0.0
66,1,22,1,38.0,-0.276508707,0.0
67,1,22,1,41.0,-0.030132396,0.0
68,1,22,1,31.0,-1.329830606,0.0
69,1,22,1,34.0,-0.293439564,0.0
70,1,22,1,37.0,-0.395124892,0.0
71,1,22,1,40.0,-0.044989951,0.0
72,1,22,1,43.0,-0.023287396,0.0
73,1,22,1,46.0,-0.012773471,0.0
74,1,22,1,49.0,0.148980764,0.0
75,1,22,1,52.0,-0.046126902,0.0
76,1,22,1,55.0,-0.033080678,0.0
77,1,22,1,58.0,-0.062896928,0.0
78,1,22,1,36.0,-0.393766974,0.0
79,1,22,1,39.0,-0.117430619,0.0
80,1,22,1,42.0,-0.026441749,0.0
81,1,22,1,45.0,-0.015615545,0.0
82,1,22,1,48.0,-0.009739282,0.0
83,1,22,1,51.0,0.12478957,0.0
84,1,22,1,54.0,-0.041001919,0.0
85,1,22,1,57.0,-0.053448469,0.0
86,1,22,1,60.0,-0.034139109,0.0
87,1,22,1,63.0,-0.0107373,0.0
88,1,22,1,44.0,-0.020383844,0.0
89,1,22,1,47.0,-0.011884847,0.0
90,1,22,1,50.0,0.135373818,0.0
91,1,22,1,53.0,-0.045024348,0.0
92,1,22,1,56.0,-0.0339387,0.0
93,1,22,1,59.0,-0.051203094,0.0
94,1,22,1,62.0,-0.019429963,0.0
95,1,22,1,65.0,-0.006155829,0.0
96,1,22,1,68.0,-0.002979089,0.0
97,1,22,1,71.0,-0.002068175,0.0
98,1,22,1,61.0,-0.020104903,0.0
99,1,22,1,64.0,-0.008369889,0.0
100,1,22,1,67.0,-0.003831549,0.0
101,1,22,1,70.0,-0.00261255,0.0
102,1,22,1,1.0,-0.039940824,0.0
103,1,22,1,63.0,0.048470957,0.0
104,1,22,1,66.0,-0.005013349,0.0
105,1,22,1,69.0,-0.00234643,0.0
106,1,22,1,72.0,-0.002157571,0.0
107,1,22,1,3.0,-0.045091525,0.0
108,1,22,1,2.0,-0.041664999,0.0
109,1,23,1,4.0,0.034204284,0.0
110,1,23,1,7.0,-0.059572017,0.0
111,1,23,1,10.0,-0.027424927,0.0
112,1,23,1,13.0,-0.068534166,0.0
113,1,23,1,16.0,-0.531226766,0.0
114,1,23,1,19.0,-0.480323838,0.0
115,1,23,1,22.0,-4.830635882,0.0
116,1,23,1,25.0,78.60223671,0.0
117,1,23,1,28.0,-69.7469459,0.0
118,1,23,1,31.0,-1.821811447,0.0
119,1,23,1,5.0,-0.012870639,0.0
120,1,23,1,8.0,-0.019664478,0.0
121,1,23,1,11.0,-0.03151366,0.0
122,1,23,1,14.0,-0.17484505,0.0
123,1,23,1,17.0,-0.560120209,0.0
124,1,23,1,20.0,-0.762748006,0.0
125,1,23,1,3.0,1.558221569,0.0
126,1,23,1,6.0,-0.01305098,0.0
127,1,23,1,9.0,-0.024243718,0.0
128,1,23,1,12.0,-0.041321372,0.0
129,1,23,1,15.0,-0.401175884,0.0
130,1,23,1,18.0,-0.469066692,0.0
131,1,23,1,21.0,-1.70150082,0.0
132,1,23,1,24.0,-12.30230351,0.0
133,1,23,1,27.0,20.75456037,0.0
134,1,23,1,30.0,-4.591545218,0.0
135,1,23,1,33.0,-0.504994692,0.0
136,1,23,1,36.0,-0.449055754,0.0
137,1,23,1,39.0,-0.131530144,0.0
138,1,23,1,42.0,-0.029137428,0.0
139,1,23,1,32.0,-0.951380971,0.0
