Spa.1,Spa.2,Spa.3,Spa.4,Vp,In,dev
1,4,2,5,943.564,85.127,0.0
1,4,5,8,-459.67,85.127,0.0
1,4,8,11,-48.099,85.127,0.0
1,4,11,14,-247.815,85.127,0.0
1,4,14,17,118.616,85.127,0.0
1,4,17,20,65.568,85.127,0.0
1,4,20,23,105.104,85.127,0.0
1,4,23,26,-56.675,85.127,0.0
1,4,26,29,0.659,832.581,0.0
1,4,29,32,3.974,832.581,0.0
1,4,3,6,-4909.92,830.338,0.0
1,4,6,9,-1439.006,830.338,0.0
1,4,9,12,-585.499,830.338,0.0
1,4,12,15,-475.153,830.338,0.0
1,4,15,18,326.432,830.338,0.0
1,4,18,21,148.373,830.338,0.0
1,4,21,24,77.998,830.338,0.0
1,4,24,27,-15.867,830.338,0.0
1,4,27,30,1.114,830.338,0.0
1,4,30,33,6.437,830.338,0.0
1,4,7,10,-246.986,244.016,0.0
1,4,10,13,-526.413,244.016,0.0
1,4,13,16,-1110.692,244.016,0.0
1,4,16,19,1519.581,244.016,0.0
1,4,19,22,176.157,244.016,0.0
1,4,22,25,-132.245,244.016,0.0
1,4,25,28,0.783,826.679,0.0
1,4,28,31,3.783,826.679,0.0
1,4,31,34,7.392,826.679,0.0
1,4,34,37,2.859,826.679,0.0
1,4,32,35,7.208,824.604,0.0
1,4,35,38,2.668,824.604,0.0
1,4,38,41,-0.102,824.604,0.0
1,4,41,44,-2.706,824.604,0.0
1,4,44,47,-4.518,824.604,0.0
1,4,47,50,-13.434,824.604,0.0
1,4,50,53,6.416,824.604,0.0
1,4,53,56,14.327,824.604,0.0
1,4,56,59,17.116,824.604,0.0
1,4,59,62,15.832,824.604,0.0
1,4,33,36,5.866,824.789,0.0
1,4,36,39,2.436,824.789,0.0
1,4,39,42,-0.945,824.789,0.0
1,4,42,45,-3.053,824.789,0.0
1,4,45,48,-4.954,824.789,0.0
1,4,48,51,-14.817,824.789,0.0
1,4,51,54,9.61,824.789,0.0
1,4,54,57,14.947,824.789,0.0
1,4,57,60,22.832,824.789,0.0
1,4,60,63,10.688,824.789,0.0
1,4,37,40,1.518,822.699,0.0
1,4,40,43,-1.519,822.699,0.0
1,4,43,46,-3.908,822.699,0.0
1,4,46,49,-20.853,822.699,0.0
1,4,49,52,3.539,822.699,0.0
1,4,52,55,16.248,822.699,0.0
1,4,55,58,14.694,822.699,0.0
1,4,58,61,20.899,822.699,0.0
1,4,61,64,5.208,822.699,0.0
1,4,64,67,-9.194,822.699,0.0
1,4,62,65,0.324,819.867,0.0
1,4,65,68,-17.375,819.867,0.0
1,4,68,71,-30.623,819.867,0.0
1,4,71,2,-3487.622,819.867,0.0
1,4,2,63,3665.025,820.681,0.0
1,4,63,66,-5.478,820.681,0.0
1,4,66,69,-23.636,820.681,0.0
1,4,69,72,-33.645,820.681,0.0
1,4,72,3,6714.739,820.681,0.0
1,4,67,70,-27.387,818.602,0.0
2,5,1,4,5821.921,554.325,0.0
2,5,4,7,-688.137,554.325,0.0
2,5,7,10,-1016.377,554.325,0.0
2,5,10,13,-145.574,554.325,0.0
2,5,13,16,1791.376,554.325,0.0
2,5,16,19,-3433.351,554.325,0.0
2,5,19,22,1656.256,554.325,0.0
2,5,22,25,-57.543,554.325,0.0
2,5,25,28,-0.036,745.674,0.0
2,5,28,31,-0.064,745.674,0.0
2,5,3,6,1496.13,105.34,0.0
2,5,6,9,-594.536,105.34,0.0
2,5,9,12,-983.646,105.34,0.0
2,5,12,15,955.847,105.34,0.0
2,5,15,18,-34.14,105.34,0.0
2,5,18,21,11.746,747.057,0.0
2,5,21,24,85.89,747.057,0.0
2,5,24,27,-121.906,747.057,0.0
2,5,27,30,-0.091,747.057,0.0
2,5,30,33,-1.16,747.057,0.0
2,5,8,11,-61.913,59.636,0.0
2,5,11,14,253.982,59.636,0.0
2,5,14,17,-233.705,59.636,0.0
2,5,17,20,-37.2,59.636,0.0
2,5,20,23,210.694,59.636,0.0
2,5,23,26,-208.015,59.636,0.0
2,5,26,29,-0.329,748.968,0.0
2,5,29,32,-1.767,748.968,0.0
2,5,32,35,-3.34,748.968,0.0
2,5,35,38,-3.751,748.968,0.0
2,5,31,34,-3.57,751.215,0.0
2,5,34,37,-3.179,751.215,0.0
2,5,37,40,-3.685,751.215,0.0
2,5,40,43,-5.924,751.215,0.0
2,5,43,46,-6.747,751.215,0.0
2,5,46,49,45.587,751.215,0.0
2,5,49,52,3.613,751.215,0.0
2,5,52,55,3.529,751.215,0.0
2,5,55,58,-3.418,751.215,0.0
2,5,58,61,-7.092,751.215,0.0
2,5,33,36,-3.516,751.722,0.0
2,5,36,39,-4.069,751.722,0.0
2,5,39,42,-4.611,751.722,0.0
2,5,42,45,-6.946,751.722,0.0
2,5,45,48,-6.436,751.722,0.0
2,5,48,51,52.908,751.722,0.0
2,5,51,54,4.392,751.722,0.0
2,5,54,57,-1.717,751.722,0.0
2,5,57,60,-6.178,751.722,0.0
2,5,60,63,-10.504,751.722,0.0
2,5,38,41,-3.637,751.227,0.0
2,5,41,44,-6.807,751.227,0.0
2,5,44,47,-6.559,751.227,0.0
2,5,47,50,50.542,751.227,0.0
2,5,50,53,4.325,751.227,0.0
2,5,53,56,-0.378,751.227,0.0
2,5,56,59,-4.497,751.227,0.0
2,5,59,62,-8.899,751.227,0.0
2,5,62,65,-21.23,751.227,0.0
2,5,65,68,-32.067,751.227,0.0
2,5,61,64,-14.126,749.967,0.0
2,5,64,67,-30.052,749.967,0.0
2,5,67,70,-32.233,749.967,0.0
2,5,70,1,-5539.457,750.607,0.0
2,5,1,63,5608.078,750.607,0.0
2,5,63,66,-26.644,750.607,0.0
2,5,66,69,-31.469,750.607,0.0
2,5,69,72,-31.142,750.607,0.0
2,5,72,3,-55.312,7.315,0.0
2,5,68,71,-31.327,750.404,0.0
3,6,1,4,-124.751,45.345,0.0
3,6,4,7,569.74,45.345,0.0
3,6,7,10,-257.154,45.345,0.0
3,6,10,13,-63.693,45.345,0.0
3,6,13,16,55.231,45.345,0.0
3,6,16,19,82.329,45.345,0.0
3,6,19,22,-114.924,45.345,0.0
3,6,22,25,-78.856,869.751,0.0
3,6,25,28,-0.363,869.751,0.0
3,6,28,31,-1.513,869.751,0.0
3,6,2,5,446.565,29.202,0.0
3,6,5,8,-55.712,29.202,0.0
3,6,8,11,-53.23,29.202,0.0
3,6,11,14,-32.804,868.799,0.0
3,6,14,17,-59.103,868.799,0.0
3,6,17,20,-129.78,868.799,0.0
3,6,20,23,-4.747,868.799,0.0
3,6,23,26,-124.408,868.799,0.0
3,6,26,29,-0.265,868.799,0.0
3,6,29,32,-1.797,868.799,0.0
3,6,9,12,561.217,659.494,0.0
3,6,12,15,-517.687,659.494,0.0
3,6,15,18,593.638,659.494,0.0
3,6,18,21,-558.416,659.494,0.0
3,6,21,24,-114.377,659.494,0.0
3,6,24,27,-43.844,659.494,0.0
3,6,27,30,-0.337,868.052,0.0
3,6,30,33,-2.675,868.052,0.0
3,6,33,36,-3.248,868.052,0.0
3,6,36,39,-4.486,868.052,0.0
